symbol,open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
BERAUSDT,1775797200000,2026-04-10T05:00:00+00:00,0.41700000,0.41800000,0.41400000,0.41700000,95413.87400000,1775800799999,2026-04-10T05:59:59.999000+00:00,39711.68082400,189,57082.10000000,23776.67956400
BERAUSDT,1775800800000,2026-04-10T06:00:00+00:00,0.41700000,0.41700000,0.41400000,0.41400000,159262.28900000,1775804399999,2026-04-10T06:59:59.999000+00:00,66141.36748300,255,70911.41300000,29480.07871300
BERAUSDT,1775804400000,2026-04-10T07:00:00+00:00,0.41400000,0.41600000,0.41400000,0.41500000,177171.06600000,1775807999999,2026-04-10T07:59:59.999000+00:00,73527.77820300,295,107946.14400000,44800.79308000
BERAUSDT,1775808000000,2026-04-10T08:00:00+00:00,0.41400000,0.41600000,0.41300000,0.41300000,107384.50800000,1775811599999,2026-04-10T08:59:59.999000+00:00,44486.62818700,139,55423.98300000,22965.69708400
BERAUSDT,1775811600000,2026-04-10T09:00:00+00:00,0.41300000,0.41600000,0.41200000,0.41200000,180983.34500000,1775815199999,2026-04-10T09:59:59.999000+00:00,74831.61705300,334,106663.14500000,44130.38236900
BERAUSDT,1775815200000,2026-04-10T10:00:00+00:00,0.41200000,0.41400000,0.41000000,0.41100000,166864.94400000,1775818799999,2026-04-10T10:59:59.999000+00:00,68737.07669900,271,87847.28500000,36192.60858800
BERAUSDT,1775818800000,2026-04-10T11:00:00+00:00,0.41100000,0.41300000,0.41000000,0.41100000,144708.84000000,1775822399999,2026-04-10T11:59:59.999000+00:00,59520.38262800,224,86896.22500000,35751.51239200
BERAUSDT,1775822400000,2026-04-10T12:00:00+00:00,0.41100000,0.41400000,0.40900000,0.41200000,203287.65100000,1775825999999,2026-04-10T12:59:59.999000+00:00,83526.94817400,324,87470.63300000,35960.38813900
BERAUSDT,1775826000000,2026-04-10T13:00:00+00:00,0.41100000,0.41500000,0.41100000,0.41300000,110493.26100000,1775829599999,2026-04-10T13:59:59.999000+00:00,45689.87203700,280,52270.74100000,21618.85794600
BERAUSDT,1775829600000,2026-04-10T14:00:00+00:00,0.41300000,0.41700000,0.41200000,0.41500000,212037.85300000,1775833199999,2026-04-10T14:59:59.999000+00:00,88120.19080000,256,120566.84900000,50131.50127000
BERAUSDT,1775833200000,2026-04-10T15:00:00+00:00,0.41600000,0.41900000,0.41600000,0.41600000,185958.95300000,1775836799999,2026-04-10T15:59:59.999000+00:00,77614.43931100,272,104115.77000000,43457.32230200
BERAUSDT,1775836800000,2026-04-10T16:00:00+00:00,0.41700000,0.41900000,0.41700000,0.41800000,142105.70900000,1775840399999,2026-04-10T16:59:59.999000+00:00,59332.62299100,188,58967.47700000,24623.07265800
BERAUSDT,1775840400000,2026-04-10T17:00:00+00:00,0.41700000,0.41900000,0.41600000,0.41800000,48452.57600000,1775843999999,2026-04-10T17:59:59.999000+00:00,20239.38589800,82,29735.13900000,12422.20069500
BERAUSDT,1775844000000,2026-04-10T18:00:00+00:00,0.41800000,0.42100000,0.41500000,0.42000000,152378.73100000,1775847599999,2026-04-10T18:59:59.999000+00:00,63661.78047600,221,74699.68700000,31195.49603000
BERAUSDT,1775847600000,2026-04-10T19:00:00+00:00,0.42000000,0.42000000,0.41800000,0.41900000,61350.31000000,1775851199999,2026-04-10T19:59:59.999000+00:00,25733.23564700,102,24730.71900000,10376.56438300
BERAUSDT,1775851200000,2026-04-10T20:00:00+00:00,0.42000000,0.42100000,0.41800000,0.41900000,58386.87800000,1775854799999,2026-04-10T20:59:59.999000+00:00,24493.10457700,143,26664.26500000,11197.81081000
BERAUSDT,1775854800000,2026-04-10T21:00:00+00:00,0.41900000,0.42300000,0.41700000,0.42100000,136353.37900000,1775858399999,2026-04-10T21:59:59.999000+00:00,57255.39908900,259,69363.39700000,29113.55739500
BERAUSDT,1775858400000,2026-04-10T22:00:00+00:00,0.42100000,0.42400000,0.41900000,0.42100000,95496.99300000,1775861999999,2026-04-10T22:59:59.999000+00:00,40229.76473600,111,43555.68000000,18371.75250700
BERAUSDT,1775862000000,2026-04-10T23:00:00+00:00,0.42000000,0.42200000,0.41800000,0.41800000,109142.57600000,1775865599999,2026-04-10T23:59:59.999000+00:00,45746.57696600,172,50773.83500000,21293.17384000
BERAUSDT,1775865600000,2026-04-11T00:00:00+00:00,0.41900000,0.41900000,0.41400000,0.41500000,142563.54900000,1775869199999,2026-04-11T00:59:59.999000+00:00,59257.94117200,217,76635.88900000,31856.78088900
BERAUSDT,1775869200000,2026-04-11T01:00:00+00:00,0.41500000,0.41800000,0.41300000,0.41600000,133500.92900000,1775872799999,2026-04-11T01:59:59.999000+00:00,55358.54808500,185,64519.97800000,26759.75342500
BERAUSDT,1775872800000,2026-04-11T02:00:00+00:00,0.41600000,0.41600000,0.41200000,0.41300000,125722.52200000,1775876399999,2026-04-11T02:59:59.999000+00:00,52054.46416400,159,54002.18500000,22374.37956500
BERAUSDT,1775876400000,2026-04-11T03:00:00+00:00,0.41400000,0.41500000,0.41100000,0.41300000,100580.65700000,1775879999999,2026-04-11T03:59:59.999000+00:00,41552.93805800,134,57179.12300000,23636.51174800
BERAUSDT,1775880000000,2026-04-11T04:00:00+00:00,0.41300000,0.41500000,0.41200000,0.41500000,118539.31700000,1775883599999,2026-04-11T04:59:59.999000+00:00,49070.65737800,173,81775.36600000,33852.06104100
