symbol,open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
FFUSDT,1776067200000,2026-04-13T08:00:00+00:00,0.07678000,0.07912000,0.07570000,0.07882000,6928998.50000000,1776070799999,2026-04-13T08:59:59.999000+00:00,533013.60757900,4650,3061926.10000000,235085.26150300
FFUSDT,1776070800000,2026-04-13T09:00:00+00:00,0.07881000,0.07904000,0.07734000,0.07783000,4346962.30000000,1776074399999,2026-04-13T09:59:59.999000+00:00,339222.43022900,2992,2133999.30000000,166419.46649300
FFUSDT,1776074400000,2026-04-13T10:00:00+00:00,0.07780000,0.07918000,0.07760000,0.07785000,4883355.80000000,1776077999999,2026-04-13T10:59:59.999000+00:00,382610.38692300,3429,2291071.80000000,179450.14722300
FFUSDT,1776078000000,2026-04-13T11:00:00+00:00,0.07790000,0.07799000,0.07695000,0.07743000,2850814.70000000,1776081599999,2026-04-13T11:59:59.999000+00:00,220213.81448600,2366,1425645.90000000,110116.81399100
FFUSDT,1776081600000,2026-04-13T12:00:00+00:00,0.07738000,0.07744000,0.07625000,0.07656000,2180000.90000000,1776085199999,2026-04-13T12:59:59.999000+00:00,167062.07677700,1879,1277242.40000000,97856.27989100
FFUSDT,1776085200000,2026-04-13T13:00:00+00:00,0.07654000,0.07730000,0.07634000,0.07723000,1775795.30000000,1776088799999,2026-04-13T13:59:59.999000+00:00,136565.71844200,1849,785701.50000000,60383.46199800
FFUSDT,1776088800000,2026-04-13T14:00:00+00:00,0.07726000,0.07798000,0.07708000,0.07789000,2929333.90000000,1776092399999,2026-04-13T14:59:59.999000+00:00,227265.34989500,2767,1205409.10000000,93501.01036600
FFUSDT,1776092400000,2026-04-13T15:00:00+00:00,0.07786000,0.07968000,0.07761000,0.07934000,7356834.80000000,1776095999999,2026-04-13T15:59:59.999000+00:00,580323.64502100,5661,3718473.90000000,293557.77980900
FFUSDT,1776096000000,2026-04-13T16:00:00+00:00,0.07933000,0.07939000,0.07786000,0.07817000,4225812.90000000,1776099599999,2026-04-13T16:59:59.999000+00:00,331611.22161700,3471,2079185.10000000,163248.28325400
FFUSDT,1776099600000,2026-04-13T17:00:00+00:00,0.07817000,0.08424000,0.07817000,0.08424000,23193058.20000000,1776103199999,2026-04-13T17:59:59.999000+00:00,1902096.32415200,19127,12758842.00000000,1046391.79731600
FFUSDT,1776103200000,2026-04-13T18:00:00+00:00,0.08415000,0.08415000,0.07941000,0.08013000,9193321.50000000,1776106799999,2026-04-13T18:59:59.999000+00:00,745295.21119800,6762,4134065.00000000,335202.20410400
