symbol,open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
INITUSDT,1775912400000,2026-04-11T13:00:00+00:00,0.08200000,0.08290000,0.08200000,0.08220000,218257.90000000,1775915999999,2026-04-11T13:59:59.999000+00:00,17999.77905000,131,117109.40000000,9656.68090000
INITUSDT,1775916000000,2026-04-11T14:00:00+00:00,0.08220000,0.08270000,0.08210000,0.08210000,178159.90000000,1775919599999,2026-04-11T14:59:59.999000+00:00,14680.83490000,189,100939.50000000,8322.20293000
INITUSDT,1775919600000,2026-04-11T15:00:00+00:00,0.08210000,0.08270000,0.08200000,0.08210000,300385.40000000,1775923199999,2026-04-11T15:59:59.999000+00:00,24733.81632000,213,174380.70000000,14365.31466000
INITUSDT,1775923200000,2026-04-11T16:00:00+00:00,0.08220000,0.08290000,0.08210000,0.08220000,555340.60000000,1775926799999,2026-04-11T16:59:59.999000+00:00,45835.13279000,398,272600.70000000,22515.13477000
INITUSDT,1775926800000,2026-04-11T17:00:00+00:00,0.08220000,0.08240000,0.08190000,0.08200000,85152.10000000,1775930399999,2026-04-11T17:59:59.999000+00:00,6992.78892000,83,32569.50000000,2680.56755000
INITUSDT,1775930400000,2026-04-11T18:00:00+00:00,0.08210000,0.08270000,0.08210000,0.08250000,157886.50000000,1775933999999,2026-04-11T18:59:59.999000+00:00,13015.04414000,119,105138.20000000,8672.01103000
INITUSDT,1775934000000,2026-04-11T19:00:00+00:00,0.08240000,0.08290000,0.08220000,0.08270000,366081.00000000,1775937599999,2026-04-11T19:59:59.999000+00:00,30242.35979000,286,211609.50000000,17487.33254000
INITUSDT,1775937600000,2026-04-11T20:00:00+00:00,0.08260000,0.08330000,0.08260000,0.08310000,219513.10000000,1775941199999,2026-04-11T20:59:59.999000+00:00,18223.84010000,172,116584.00000000,9676.83292000
INITUSDT,1775941200000,2026-04-11T21:00:00+00:00,0.08310000,0.08340000,0.08290000,0.08300000,142539.80000000,1775944799999,2026-04-11T21:59:59.999000+00:00,11871.89024000,157,43228.70000000,3601.77169000
INITUSDT,1775944800000,2026-04-11T22:00:00+00:00,0.08300000,0.08320000,0.08260000,0.08270000,89062.40000000,1775948399999,2026-04-11T22:59:59.999000+00:00,7376.01027000,70,18912.90000000,1564.66334000
INITUSDT,1775948400000,2026-04-11T23:00:00+00:00,0.08270000,0.08270000,0.08230000,0.08240000,71042.90000000,1775951999999,2026-04-11T23:59:59.999000+00:00,5859.70560000,50,10858.70000000,896.96958000
INITUSDT,1775952000000,2026-04-12T00:00:00+00:00,0.08250000,0.08310000,0.08220000,0.08230000,255849.40000000,1775955599999,2026-04-12T00:59:59.999000+00:00,21146.09222000,144,117478.30000000,9717.33821000
INITUSDT,1775955600000,2026-04-12T01:00:00+00:00,0.08220000,0.08230000,0.08120000,0.08140000,511553.00000000,1775959199999,2026-04-12T01:59:59.999000+00:00,41780.47739000,291,232070.50000000,18956.90440000
INITUSDT,1775959200000,2026-04-12T02:00:00+00:00,0.08140000,0.08140000,0.08000000,0.08010000,795466.20000000,1775962799999,2026-04-12T02:59:59.999000+00:00,64115.85123000,452,269436.70000000,21716.59148000
INITUSDT,1775962800000,2026-04-12T03:00:00+00:00,0.08020000,0.08040000,0.07990000,0.08020000,249511.60000000,1775966399999,2026-04-12T03:59:59.999000+00:00,19994.81343000,232,165679.10000000,13277.55999000
INITUSDT,1775966400000,2026-04-12T04:00:00+00:00,0.08030000,0.08100000,0.08030000,0.08080000,133298.00000000,1775969999999,2026-04-12T04:59:59.999000+00:00,10752.91350000,62,93724.20000000,7559.43701000
