symbol,open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
INJUSDT,1775682000000,2026-04-08T21:00:00+00:00,2.92200000,2.95200000,2.92100000,2.94100000,35454.69000000,1775685599999,2026-04-08T21:59:59.999000+00:00,104077.31780000,652,9649.86000000,28375.62476000
INJUSDT,1775685600000,2026-04-08T22:00:00+00:00,2.94200000,2.94200000,2.91500000,2.91700000,20369.37000000,1775689199999,2026-04-08T22:59:59.999000+00:00,59584.26033000,714,9434.56000000,27599.52094000
INJUSDT,1775689200000,2026-04-08T23:00:00+00:00,2.91700000,2.91800000,2.89800000,2.90400000,12045.75000000,1775692799999,2026-04-08T23:59:59.999000+00:00,35016.42224000,696,4931.13000000,14333.16995000
INJUSDT,1775692800000,2026-04-09T00:00:00+00:00,2.90400000,2.90600000,2.88300000,2.89300000,13846.43000000,1775696399999,2026-04-09T00:59:59.999000+00:00,40092.09140000,950,7229.03000000,20933.59945000
INJUSDT,1775696400000,2026-04-09T01:00:00+00:00,2.89200000,2.89300000,2.87100000,2.88400000,31509.77000000,1775699999999,2026-04-09T01:59:59.999000+00:00,90777.70186000,719,9450.62000000,27216.64481000
INJUSDT,1775700000000,2026-04-09T02:00:00+00:00,2.88500000,2.90400000,2.88400000,2.89800000,6153.72000000,1775703599999,2026-04-09T02:59:59.999000+00:00,17819.56649000,318,3966.18000000,11492.70040000
INJUSDT,1775703600000,2026-04-09T03:00:00+00:00,2.89800000,2.90200000,2.88800000,2.89100000,7182.06000000,1775707199999,2026-04-09T03:59:59.999000+00:00,20786.90797000,418,2793.43000000,8086.39889000
INJUSDT,1775707200000,2026-04-09T04:00:00+00:00,2.89000000,2.90300000,2.88700000,2.89100000,8466.77000000,1775710799999,2026-04-09T04:59:59.999000+00:00,24511.66145000,306,1737.89000000,5028.84987000
INJUSDT,1775710800000,2026-04-09T05:00:00+00:00,2.89100000,2.91300000,2.89000000,2.89900000,12061.33000000,1775714399999,2026-04-09T05:59:59.999000+00:00,34986.86661000,632,5158.74000000,14977.17555000
INJUSDT,1775714400000,2026-04-09T06:00:00+00:00,2.89900000,2.91500000,2.89900000,2.91500000,26237.64000000,1775717999999,2026-04-09T06:59:59.999000+00:00,76277.97875000,382,23628.52000000,68691.01785000
INJUSDT,1775718000000,2026-04-09T07:00:00+00:00,2.91600000,2.92300000,2.91200000,2.91300000,16754.21000000,1775721599999,2026-04-09T07:59:59.999000+00:00,48887.00979000,566,10493.28000000,30630.55647000
INJUSDT,1775721600000,2026-04-09T08:00:00+00:00,2.91400000,2.92700000,2.91200000,2.91500000,18270.22000000,1775725199999,2026-04-09T08:59:59.999000+00:00,53344.87290000,757,10093.19000000,29472.55354000
INJUSDT,1775725200000,2026-04-09T09:00:00+00:00,2.91500000,2.92700000,2.90400000,2.92500000,8941.13000000,1775728799999,2026-04-09T09:59:59.999000+00:00,26045.90451000,384,3707.78000000,10806.54892000
INJUSDT,1775728800000,2026-04-09T10:00:00+00:00,2.92300000,2.92500000,2.91600000,2.91800000,9355.46000000,1775732399999,2026-04-09T10:59:59.999000+00:00,27326.96059000,270,6554.61000000,19149.76219000
INJUSDT,1775732400000,2026-04-09T11:00:00+00:00,2.91700000,2.92100000,2.90700000,2.90900000,13112.71000000,1775735999999,2026-04-09T11:59:59.999000+00:00,38173.91559000,432,6838.92000000,19903.28126000
INJUSDT,1775736000000,2026-04-09T12:00:00+00:00,2.90900000,2.92200000,2.90300000,2.92000000,15663.38000000,1775739599999,2026-04-09T12:59:59.999000+00:00,45635.53263000,530,9011.01000000,26270.97057000
INJUSDT,1775739600000,2026-04-09T13:00:00+00:00,2.92100000,2.92300000,2.90200000,2.91000000,21098.04000000,1775743199999,2026-04-09T13:59:59.999000+00:00,61423.73842000,623,7918.94000000,23059.88583000
INJUSDT,1775743200000,2026-04-09T14:00:00+00:00,2.91000000,2.92400000,2.89800000,2.91800000,31851.97000000,1775746799999,2026-04-09T14:59:59.999000+00:00,92801.17993000,771,20913.07000000,60931.24849000
