symbol,open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
NEARUSDT,1777453200000,2026-04-29T09:00:00+00:00,1.35600000,1.37100000,1.35600000,1.36900000,319786.40000000,1777456799999,2026-04-29T09:59:59.999000+00:00,435780.34450000,2564,230996.10000000,314814.20110000
NEARUSDT,1777456800000,2026-04-29T10:00:00+00:00,1.37000000,1.37300000,1.35900000,1.36100000,326513.30000000,1777460399999,2026-04-29T10:59:59.999000+00:00,446071.93240000,2027,141367.80000000,193257.08140000
NEARUSDT,1777460400000,2026-04-29T11:00:00+00:00,1.36100000,1.36200000,1.35500000,1.35600000,272610.20000000,1777463999999,2026-04-29T11:59:59.999000+00:00,370383.48530000,1585,110459.40000000,150130.30820000
NEARUSDT,1777464000000,2026-04-29T12:00:00+00:00,1.35700000,1.35700000,1.34600000,1.35200000,445384.00000000,1777467599999,2026-04-29T12:59:59.999000+00:00,601386.41270000,2911,242306.20000000,327199.27580000
NEARUSDT,1777467600000,2026-04-29T13:00:00+00:00,1.35200000,1.35400000,1.33900000,1.34500000,407113.60000000,1777471199999,2026-04-29T13:59:59.999000+00:00,547880.71950000,2998,187626.40000000,252523.28330000
NEARUSDT,1777471200000,2026-04-29T14:00:00+00:00,1.34500000,1.35100000,1.34000000,1.34300000,286467.00000000,1777474799999,2026-04-29T14:59:59.999000+00:00,385258.96200000,2150,146120.40000000,196609.00870000
NEARUSDT,1777474800000,2026-04-29T15:00:00+00:00,1.34200000,1.34200000,1.31700000,1.32000000,642454.00000000,1777478399999,2026-04-29T15:59:59.999000+00:00,852363.55200000,4434,233800.30000000,310296.07400000
NEARUSDT,1777478400000,2026-04-29T16:00:00+00:00,1.32000000,1.32600000,1.31700000,1.32000000,375805.30000000,1777481999999,2026-04-29T16:59:59.999000+00:00,496735.45140000,2638,189732.10000000,250849.60680000
NEARUSDT,1777482000000,2026-04-29T17:00:00+00:00,1.32100000,1.32800000,1.31900000,1.32700000,284302.40000000,1777485599999,2026-04-29T17:59:59.999000+00:00,376016.87010000,2275,155615.20000000,205872.05460000
NEARUSDT,1777485600000,2026-04-29T18:00:00+00:00,1.32800000,1.32900000,1.29300000,1.31500000,1288437.60000000,1777489199999,2026-04-29T18:59:59.999000+00:00,1685439.84040000,10473,550889.50000000,719705.79210000
NEARUSDT,1777489200000,2026-04-29T19:00:00+00:00,1.31600000,1.31700000,1.30700000,1.31200000,194778.80000000,1777492799999,2026-04-29T19:59:59.999000+00:00,255575.21930000,2058,84951.70000000,111441.82610000
NEARUSDT,1777492800000,2026-04-29T20:00:00+00:00,1.31300000,1.32500000,1.31200000,1.32000000,205594.30000000,1777496399999,2026-04-29T20:59:59.999000+00:00,271187.99800000,2339,101898.50000000,134395.55210000
NEARUSDT,1777496400000,2026-04-29T21:00:00+00:00,1.32000000,1.32700000,1.31800000,1.32400000,149910.60000000,1777499999999,2026-04-29T21:59:59.999000+00:00,198280.48530000,1388,74667.20000000,98777.82390000
NEARUSDT,1777500000000,2026-04-29T22:00:00+00:00,1.32400000,1.32900000,1.32100000,1.32300000,137328.10000000,1777503599999,2026-04-29T22:59:59.999000+00:00,181934.37030000,1173,68321.50000000,90528.49780000
NEARUSDT,1777503600000,2026-04-29T23:00:00+00:00,1.32200000,1.32800000,1.32100000,1.32800000,119101.90000000,1777507199999,2026-04-29T23:59:59.999000+00:00,157755.99280000,1127,68156.50000000,90250.71630000
NEARUSDT,1777507200000,2026-04-30T00:00:00+00:00,1.32800000,1.34000000,1.32800000,1.33800000,176695.60000000,1777510799999,2026-04-30T00:59:59.999000+00:00,235445.45480000,1976,98871.10000000,131730.18420000
NEARUSDT,1777510800000,2026-04-30T01:00:00+00:00,1.33700000,1.34300000,1.33400000,1.33900000,156369.20000000,1777514399999,2026-04-30T01:59:59.999000+00:00,209224.70680000,1662,77118.50000000,103192.53170000
NEARUSDT,1777514400000,2026-04-30T02:00:00+00:00,1.33900000,1.34200000,1.32200000,1.32600000,187961.70000000,1777517999999,2026-04-30T02:59:59.999000+00:00,250113.58230000,2406,92326.00000000,122777.99900000
NEARUSDT,1777518000000,2026-04-30T03:00:00+00:00,1.32500000,1.33200000,1.32300000,1.33000000,126262.40000000,1777521599999,2026-04-30T03:59:59.999000+00:00,167701.39820000,1376,77768.60000000,103313.90030000
NEARUSDT,1777521600000,2026-04-30T04:00:00+00:00,1.32900000,1.32900000,1.31700000,1.31800000,140798.00000000,1777525199999,2026-04-30T04:59:59.999000+00:00,186235.69160000,1503,51487.80000000,68113.88360000
NEARUSDT,1777525200000,2026-04-30T05:00:00+00:00,1.31900000,1.32400000,1.31500000,1.32000000,196526.30000000,1777528799999,2026-04-30T05:59:59.999000+00:00,259439.34480000,1847,86157.20000000,113773.92790000
NEARUSDT,1777528800000,2026-04-30T06:00:00+00:00,1.32100000,1.32400000,1.31900000,1.32100000,237968.90000000,1777532399999,2026-04-30T06:59:59.999000+00:00,314484.86730000,1385,120772.50000000,159636.09630000
NEARUSDT,1777532400000,2026-04-30T07:00:00+00:00,1.32200000,1.33000000,1.32100000,1.32800000,164566.50000000,1777535999999,2026-04-30T07:59:59.999000+00:00,218139.00280000,1156,85375.10000000,113141.54220000
NEARUSDT,1777536000000,2026-04-30T08:00:00+00:00,1.32900000,1.33100000,1.32300000,1.32300000,185093.40000000,1777539599999,2026-04-30T08:59:59.999000+00:00,245747.92700000,1238,81868.30000000,108730.99350000
NEARUSDT,1777539600000,2026-04-30T09:00:00+00:00,1.32300000,1.33200000,1.32300000,1.32700000,197762.70000000,1777543199999,2026-04-30T09:59:59.999000+00:00,262404.06250000,1295,101035.10000000,134026.86900000
NEARUSDT,1777543200000,2026-04-30T10:00:00+00:00,1.32700000,1.32900000,1.32100000,1.32100000,190797.70000000,1777546799999,2026-04-30T10:59:59.999000+00:00,252671.58140000,1348,101066.00000000,133866.71630000
NEARUSDT,1777546800000,2026-04-30T11:00:00+00:00,1.32100000,1.32600000,1.31800000,1.32400000,264561.60000000,1777550399999,2026-04-30T11:59:59.999000+00:00,349641.68920000,1992,119268.30000000,157689.50420000
NEARUSDT,1777550400000,2026-04-30T12:00:00+00:00,1.32500000,1.32900000,1.32000000,1.32100000,130345.20000000,1777553999999,2026-04-30T12:59:59.999000+00:00,172809.26410000,1247,59755.10000000,79222.33180000
NEARUSDT,1777554000000,2026-04-30T13:00:00+00:00,1.32100000,1.32500000,1.31800000,1.31900000,153446.40000000,1777557599999,2026-04-30T13:59:59.999000+00:00,202821.31270000,1923,78918.20000000,104322.02090000
NEARUSDT,1777557600000,2026-04-30T14:00:00+00:00,1.31900000,1.32200000,1.31000000,1.31200000,257421.50000000,1777561199999,2026-04-30T14:59:59.999000+00:00,338589.75970000,2674,129080.80000000,169765.47410000
NEARUSDT,1777561200000,2026-04-30T15:00:00+00:00,1.31100000,1.31500000,1.30600000,1.31200000,201148.50000000,1777564799999,2026-04-30T15:59:59.999000+00:00,263543.61290000,1955,103263.30000000,135314.47650000
NEARUSDT,1777564800000,2026-04-30T16:00:00+00:00,1.31200000,1.31300000,1.30900000,1.30900000,104565.10000000,1777568399999,2026-04-30T16:59:59.999000+00:00,137121.14450000,1271,48497.20000000,63605.29980000
NEARUSDT,1777568400000,2026-04-30T17:00:00+00:00,1.30900000,1.31100000,1.30500000,1.30900000,129192.70000000,1777571999999,2026-04-30T17:59:59.999000+00:00,169047.60660000,1261,63631.30000000,83277.79280000
NEARUSDT,1777572000000,2026-04-30T18:00:00+00:00,1.30800000,1.31100000,1.30300000,1.30300000,107649.80000000,1777575599999,2026-04-30T18:59:59.999000+00:00,140641.81530000,1233,67936.30000000,88773.88660000
NEARUSDT,1777575600000,2026-04-30T19:00:00+00:00,1.30200000,1.30800000,1.30100000,1.30400000,118406.40000000,1777579199999,2026-04-30T19:59:59.999000+00:00,154509.32950000,1069,66442.30000000,86721.68330000
NEARUSDT,1777579200000,2026-04-30T20:00:00+00:00,1.30300000,1.30400000,1.30000000,1.30200000,104230.30000000,1777582799999,2026-04-30T20:59:59.999000+00:00,135735.82250000,1188,61417.90000000,79989.31080000
NEARUSDT,1777582800000,2026-04-30T21:00:00+00:00,1.30200000,1.30500000,1.30000000,1.30000000,83478.00000000,1777586399999,2026-04-30T21:59:59.999000+00:00,108748.07690000,717,42952.20000000,55960.12540000
NEARUSDT,1777586400000,2026-04-30T22:00:00+00:00,1.30100000,1.30300000,1.29300000,1.29400000,193943.00000000,1777589999999,2026-04-30T22:59:59.999000+00:00,251630.57330000,1496,94416.30000000,122498.57980000
NEARUSDT,1777590000000,2026-04-30T23:00:00+00:00,1.29500000,1.29800000,1.29100000,1.29700000,140495.70000000,1777593599999,2026-04-30T23:59:59.999000+00:00,181850.47850000,1295,80265.00000000,103895.92900000
NEARUSDT,1777593600000,2026-05-01T00:00:00+00:00,1.29800000,1.30300000,1.29800000,1.29900000,163454.50000000,1777597199999,2026-05-01T00:59:59.999000+00:00,212503.05620000,1545,98275.00000000,127778.08260000
NEARUSDT,1777597200000,2026-05-01T01:00:00+00:00,1.29900000,1.30100000,1.29300000,1.29900000,162444.60000000,1777600799999,2026-05-01T01:59:59.999000+00:00,210782.40470000,1421,85019.40000000,110341.85060000
NEARUSDT,1777600800000,2026-05-01T02:00:00+00:00,1.29900000,1.30300000,1.29500000,1.30100000,189691.50000000,1777604399999,2026-05-01T02:59:59.999000+00:00,246385.21240000,1640,97388.30000000,126505.03010000
NEARUSDT,1777604400000,2026-05-01T03:00:00+00:00,1.30100000,1.32000000,1.30100000,1.30900000,358408.40000000,1777607999999,2026-05-01T03:59:59.999000+00:00,470743.98640000,3498,181038.60000000,237731.15920000
NEARUSDT,1777608000000,2026-05-01T04:00:00+00:00,1.31000000,1.31400000,1.30400000,1.30500000,226841.10000000,1777611599999,2026-05-01T04:59:59.999000+00:00,297033.32130000,1726,103987.90000000,136197.96860000
NEARUSDT,1777611600000,2026-05-01T05:00:00+00:00,1.30400000,1.30800000,1.30000000,1.30100000,46588.30000000,1777615199999,2026-05-01T05:59:59.999000+00:00,60736.79330000,763,26571.80000000,34653.98370000
NEARUSDT,1777615200000,2026-05-01T06:00:00+00:00,1.30100000,1.30200000,1.29600000,1.29900000,109981.50000000,1777618799999,2026-05-01T06:59:59.999000+00:00,142831.49640000,1017,57330.40000000,74455.99120000
NEARUSDT,1777618800000,2026-05-01T07:00:00+00:00,1.29900000,1.29900000,1.29500000,1.29800000,85859.10000000,1777622399999,2026-05-01T07:59:59.999000+00:00,111398.80140000,1331,55092.50000000,71491.89480000
NEARUSDT,1777622400000,2026-05-01T08:00:00+00:00,1.29800000,1.30200000,1.29700000,1.30100000,92356.40000000,1777625999999,2026-05-01T08:59:59.999000+00:00,119955.34620000,1033,62527.90000000,81209.04960000
NEARUSDT,1777626000000,2026-05-01T09:00:00+00:00,1.30100000,1.30100000,1.29700000,1.29900000,97034.70000000,1777629599999,2026-05-01T09:59:59.999000+00:00,126077.52300000,781,57466.90000000,74674.32170000
NEARUSDT,1777629600000,2026-05-01T10:00:00+00:00,1.29900000,1.30100000,1.29400000,1.29900000,133356.10000000,1777633199999,2026-05-01T10:59:59.999000+00:00,172971.60170000,1219,45896.60000000,59550.32670000
NEARUSDT,1777633200000,2026-05-01T11:00:00+00:00,1.30000000,1.30200000,1.29400000,1.29900000,109503.20000000,1777636799999,2026-05-01T11:59:59.999000+00:00,142230.16650000,1040,53834.00000000,69913.87580000
NEARUSDT,1777636800000,2026-05-01T12:00:00+00:00,1.29800000,1.31200000,1.29700000,1.30400000,399832.60000000,1777640399999,2026-05-01T12:59:59.999000+00:00,522312.15370000,2845,245683.60000000,321103.21320000
NEARUSDT,1777640400000,2026-05-01T13:00:00+00:00,1.30300000,1.31300000,1.29900000,1.31000000,474393.80000000,1777643999999,2026-05-01T13:59:59.999000+00:00,619609.08070000,3062,270461.50000000,353388.21420000
NEARUSDT,1777644000000,2026-05-01T14:00:00+00:00,1.31100000,1.31300000,1.29700000,1.30300000,582588.30000000,1777647599999,2026-05-01T14:59:59.999000+00:00,760075.82190000,3424,228046.90000000,297577.48610000
NEARUSDT,1777647600000,2026-05-01T15:00:00+00:00,1.30200000,1.30600000,1.28700000,1.29500000,576214.60000000,1777651199999,2026-05-01T15:59:59.999000+00:00,747391.63940000,4194,292215.10000000,379198.68770000
NEARUSDT,1777651200000,2026-05-01T16:00:00+00:00,1.29500000,1.29800000,1.28600000,1.29100000,472045.20000000,1777654799999,2026-05-01T16:59:59.999000+00:00,609168.81440000,3078,216217.70000000,279193.71430000
