symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
APEUSDT,,2026-05-22T21:00:00+00:00,57012350.00000000,7958924.06000000
APEUSDT,,2026-05-22T22:00:00+00:00,56794527.00000000,7988150.22255000
APEUSDT,,2026-05-22T23:00:00+00:00,56790645.00000000,7939982.99179170
APEUSDT,,2026-05-23T00:00:00+00:00,56388863.00000000,7688563.38952111
APEUSDT,,2026-05-23T01:00:00+00:00,56733607.00000000,7808404.61817353
APEUSDT,,2026-05-23T02:00:00+00:00,56712658.00000000,7803661.74080000
APEUSDT,,2026-05-23T03:00:00+00:00,56637761.00000000,7827338.57020000
APEUSDT,,2026-05-23T04:00:00+00:00,56590615.00000000,7817993.46225000
APEUSDT,,2026-05-23T05:00:00+00:00,56860394.00000000,7821662.34986964
APEUSDT,,2026-05-23T06:00:00+00:00,57115059.00000000,7827618.83595000
APEUSDT,,2026-05-23T07:00:00+00:00,56943571.00000000,7761408.72730000
APEUSDT,,2026-05-23T08:00:00+00:00,56259585.00000000,7445035.10534355
APEUSDT,,2026-05-23T09:00:00+00:00,56520046.00000000,7489848.28416682
APEUSDT,,2026-05-23T10:00:00+00:00,56795874.00000000,7516460.81426958
APEUSDT,,2026-05-23T11:00:00+00:00,56494812.00000000,7488394.10997744
APEUSDT,,2026-05-23T12:00:00+00:00,56489219.00000000,7470434.27831289
APEUSDT,,2026-05-23T13:00:00+00:00,56638332.00000000,7519073.87192544
APEUSDT,,2026-05-23T14:00:00+00:00,56663226.00000000,7561585.11713184
APEUSDT,,2026-05-23T15:00:00+00:00,56655480.00000000,7697277.53349240
APEUSDT,,2026-05-23T16:00:00+00:00,56680330.00000000,7721021.19235510
APEUSDT,,2026-05-23T17:00:00+00:00,56448389.00000000,7688270.58180000
APEUSDT,,2026-05-23T18:00:00+00:00,56695281.00000000,7702053.92385000
APEUSDT,,2026-05-23T19:00:00+00:00,56656452.00000000,7833535.78147308
APEUSDT,,2026-05-23T20:00:00+00:00,56833323.00000000,7865731.90320000
APEUSDT,,2026-05-23T21:00:00+00:00,57495044.00000000,8313114.69503828
APEUSDT,,2026-05-23T22:00:00+00:00,57607584.00000000,8168755.41120000
APEUSDT,,2026-05-23T23:00:00+00:00,57214586.00000000,8047231.52090000
APEUSDT,,2026-05-24T00:00:00+00:00,57192898.00000000,8036891.86884990
APEUSDT,,2026-05-24T01:00:00+00:00,57114784.00000000,8075897.38015328
APEUSDT,,2026-05-24T02:00:00+00:00,57164239.00000000,8008688.16148918
APEUSDT,,2026-05-24T03:00:00+00:00,57114931.00000000,7996090.34000000
APEUSDT,,2026-05-24T04:00:00+00:00,57183191.00000000,7982773.46360000
APEUSDT,,2026-05-24T05:00:00+00:00,57266365.00000000,7971478.00800000
APEUSDT,,2026-05-24T06:00:00+00:00,56792074.00000000,7879563.49050118
APEUSDT,,2026-05-24T07:00:00+00:00,56994033.00000000,7953517.30515000
APEUSDT,,2026-05-24T08:00:00+00:00,57625305.00000000,8021442.45600000
APEUSDT,,2026-05-24T09:00:00+00:00,57864776.00000000,8054776.81920000
APEUSDT,,2026-05-24T10:00:00+00:00,57730799.00000000,8036127.22080000
APEUSDT,,2026-05-24T11:00:00+00:00,57676449.00000000,7976652.89670000
APEUSDT,,2026-05-24T12:00:00+00:00,57607230.00000000,7926754.84800000
APEUSDT,,2026-05-24T13:00:00+00:00,57662849.00000000,7922875.45260000
APEUSDT,,2026-05-24T14:00:00+00:00,57619044.00000000,7884844.65713448
APEUSDT,,2026-05-24T15:00:00+00:00,57507006.00000000,7820952.81600000
APEUSDT,,2026-05-24T16:00:00+00:00,57422055.00000000,7803657.27450000
APEUSDT,,2026-05-24T17:00:00+00:00,57819961.00000000,7886642.68040000
APEUSDT,,2026-05-24T18:00:00+00:00,57656795.00000000,7873035.35725000
APEUSDT,,2026-05-24T19:00:00+00:00,57610817.00000000,7812026.78520000
APEUSDT,,2026-05-24T20:00:00+00:00,57509102.00000000,7803985.14140000
APEUSDT,,2026-05-24T21:00:00+00:00,57527166.00000000,7755087.67782840
APEUSDT,,2026-05-24T22:00:00+00:00,57381173.00000000,7585791.07060000
APEUSDT,,2026-05-24T23:00:00+00:00,57154610.00000000,7658717.74000000
APEUSDT,,2026-05-25T00:00:00+00:00,56990839.00000000,7657389.43191664
APEUSDT,,2026-05-25T01:00:00+00:00,57671811.00000000,7802996.02830000
APEUSDT,,2026-05-25T02:00:00+00:00,57600576.00000000,7753037.52960000
APEUSDT,,2026-05-25T03:00:00+00:00,57599201.00000000,7804338.07640586
APEUSDT,,2026-05-25T04:00:00+00:00,57546884.00000000,7791227.16272164
APEUSDT,,2026-05-25T05:00:00+00:00,57520715.00000000,7868833.81200000
APEUSDT,,2026-05-25T06:00:00+00:00,57495063.00000000,7865324.61840000
APEUSDT,,2026-05-25T07:00:00+00:00,57442319.00000000,7855237.12325000
APEUSDT,,2026-05-25T08:00:00+00:00,57601118.00000000,7859672.55110000
APEUSDT,,2026-05-25T09:00:00+00:00,57840525.00000000,7929935.97750000
APEUSDT,,2026-05-25T10:00:00+00:00,57828861.00000000,7890748.08345000
APEUSDT,,2026-05-25T11:00:00+00:00,57856868.00000000,7932176.60280000
APEUSDT,,2026-05-25T12:00:00+00:00,57710065.00000000,7871652.86600000
APEUSDT,,2026-05-25T13:00:00+00:00,57734346.00000000,7910947.72554450
APEUSDT,,2026-05-25T14:00:00+00:00,57748010.00000000,7963450.57900000
APEUSDT,,2026-05-25T15:00:00+00:00,57781405.00000000,7991109.37446690
APEUSDT,,2026-05-25T16:00:00+00:00,57811208.00000000,7989508.94560000
APEUSDT,,2026-05-25T17:00:00+00:00,58003235.00000000,8085650.95900000
APEUSDT,,2026-05-25T18:00:00+00:00,58300154.00000000,8082053.57076436
APEUSDT,,2026-05-25T19:00:00+00:00,58266661.00000000,8062018.18793637
APEUSDT,,2026-05-25T20:00:00+00:00,58175360.00000000,8054618.27448320
APEUSDT,,2026-05-25T21:00:00+00:00,58176230.00000000,8022502.11700000
APEUSDT,,2026-05-25T22:00:00+00:00,58195871.00000000,7996112.67540000
APEUSDT,,2026-05-25T23:00:00+00:00,57392204.00000000,7811822.76736384
APEUSDT,,2026-05-26T00:00:00+00:00,57263926.00000000,7805073.11380000
APEUSDT,,2026-05-26T01:00:00+00:00,57117395.00000000,7722271.80400000
APEUSDT,,2026-05-26T02:00:00+00:00,57657991.00000000,7735780.65135997
APEUSDT,,2026-05-26T03:00:00+00:00,56835389.00000000,7576157.35370000
APEUSDT,,2026-05-26T04:00:00+00:00,56684180.00000000,7530493.31300000
APEUSDT,,2026-05-26T05:00:00+00:00,57368055.00000000,7672977.35625000
APEUSDT,,2026-05-26T06:00:00+00:00,57363244.00000000,7707708.07667748
APEUSDT,,2026-05-26T07:00:00+00:00,57272839.00000000,7694604.20146483
APEUSDT,,2026-05-26T08:00:00+00:00,56515051.00000000,7530680.27899488
APEUSDT,,2026-05-26T09:00:00+00:00,56963371.00000000,7641636.21965000
APEUSDT,,2026-05-26T10:00:00+00:00,57125601.00000000,7691514.30993816
APEUSDT,,2026-05-26T11:00:00+00:00,57554778.00000000,7942559.36400000
APEUSDT,,2026-05-26T12:00:00+00:00,57536894.00000000,7952850.75361344
APEUSDT,,2026-05-26T13:00:00+00:00,57602476.00000000,8038425.52580000
APEUSDT,,2026-05-26T14:00:00+00:00,57688017.00000000,8053247.17320000
APEUSDT,,2026-05-26T15:00:00+00:00,56129282.00000000,7841260.69540000
APEUSDT,,2026-05-26T16:00:00+00:00,55657908.00000000,7694515.98753372
APEUSDT,,2026-05-26T17:00:00+00:00,55481291.00000000,7639773.77070000
APEUSDT,,2026-05-26T18:00:00+00:00,55199204.00000000,7424292.93800000
APEUSDT,,2026-05-26T19:00:00+00:00,55041259.00000000,7414057.58730000
APEUSDT,,2026-05-26T20:00:00+00:00,54976301.00000000,7468897.18277767
APEUSDT,,2026-05-26T21:00:00+00:00,54939552.00000000,7483391.64510624
APEUSDT,,2026-05-26T22:00:00+00:00,54994841.00000000,7465549.66575000
APEUSDT,,2026-05-26T23:00:00+00:00,54911465.00000000,7484705.58948105
APEUSDT,,2026-05-27T00:00:00+00:00,54964067.00000000,7535573.58570000
APEUSDT,,2026-05-27T01:00:00+00:00,55062025.00000000,7631596.66500000
APEUSDT,,2026-05-27T02:00:00+00:00,55096983.00000000,7556924.22502491
APEUSDT,,2026-05-27T03:00:00+00:00,55111266.00000000,7531783.37234064
