symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
BERAUSDT,,2026-05-22T21:00:00+00:00,21243721.20000000,8152824.61144648
BERAUSDT,,2026-05-22T22:00:00+00:00,21212888.30000000,8133021.37422000
BERAUSDT,,2026-05-22T23:00:00+00:00,21179923.80000000,8082258.92208000
BERAUSDT,,2026-05-23T00:00:00+00:00,20978005.50000000,7832585.81428232
BERAUSDT,,2026-05-23T01:00:00+00:00,21083542.50000000,7918978.56300000
BERAUSDT,,2026-05-23T02:00:00+00:00,21134912.80000000,7986883.54712000
BERAUSDT,,2026-05-23T03:00:00+00:00,21113446.20000000,7993550.73132000
BERAUSDT,,2026-05-23T04:00:00+00:00,21148792.60000000,8001597.03798702
BERAUSDT,,2026-05-23T05:00:00+00:00,21132867.10000000,7972130.24018867
BERAUSDT,,2026-05-23T06:00:00+00:00,21153812.90000000,7948043.21719488
BERAUSDT,,2026-05-23T07:00:00+00:00,21174074.90000000,7929691.05005000
BERAUSDT,,2026-05-23T08:00:00+00:00,21072190.50000000,7642017.21659855
BERAUSDT,,2026-05-23T09:00:00+00:00,21209682.30000000,7676156.04219754
BERAUSDT,,2026-05-23T10:00:00+00:00,21186791.50000000,7654787.76895000
BERAUSDT,,2026-05-23T11:00:00+00:00,21184457.20000000,7668773.50640000
BERAUSDT,,2026-05-23T12:00:00+00:00,21158771.40000000,7638316.47540000
BERAUSDT,,2026-05-23T13:00:00+00:00,21278406.10000000,7730444.93613000
BERAUSDT,,2026-05-23T14:00:00+00:00,21366407.20000000,7833259.05012861
BERAUSDT,,2026-05-23T15:00:00+00:00,21327070.80000000,7893148.90308000
BERAUSDT,,2026-05-23T16:00:00+00:00,21304319.00000000,7940119.69130000
BERAUSDT,,2026-05-23T17:00:00+00:00,21184647.10000000,7927294.94482000
BERAUSDT,,2026-05-23T18:00:00+00:00,21246643.20000000,7917653.79891149
BERAUSDT,,2026-05-23T19:00:00+00:00,21257392.90000000,8002113.21390060
BERAUSDT,,2026-05-23T20:00:00+00:00,21284583.90000000,8033656.11421191
BERAUSDT,,2026-05-23T21:00:00+00:00,21214601.30000000,8296151.85964415
BERAUSDT,,2026-05-23T22:00:00+00:00,21306191.60000000,8271206.33060372
BERAUSDT,,2026-05-23T23:00:00+00:00,21417646.60000000,8359307.46798000
BERAUSDT,,2026-05-24T00:00:00+00:00,21466191.60000000,8356788.38988000
BERAUSDT,,2026-05-24T01:00:00+00:00,21454684.70000000,8384490.78076000
BERAUSDT,,2026-05-24T02:00:00+00:00,21674211.80000000,8513630.39504000
BERAUSDT,,2026-05-24T03:00:00+00:00,21633801.20000000,8443773.20553558
BERAUSDT,,2026-05-24T04:00:00+00:00,21493092.70000000,8298483.09147000
BERAUSDT,,2026-05-24T05:00:00+00:00,21537777.80000000,8254157.13269424
BERAUSDT,,2026-05-24T06:00:00+00:00,21463981.40000000,8168085.06723864
BERAUSDT,,2026-05-24T07:00:00+00:00,21493390.30000000,8212136.74860409
BERAUSDT,,2026-05-24T08:00:00+00:00,21495955.40000000,8203350.55769509
BERAUSDT,,2026-05-24T09:00:00+00:00,21493291.30000000,8205097.05344360
BERAUSDT,,2026-05-24T10:00:00+00:00,21527754.50000000,8221449.44355000
BERAUSDT,,2026-05-24T11:00:00+00:00,21528597.60000000,8200830.77184046
BERAUSDT,,2026-05-24T12:00:00+00:00,21424199.80000000,8103682.57863420
BERAUSDT,,2026-05-24T13:00:00+00:00,21399533.00000000,8061886.29821204
BERAUSDT,,2026-05-24T14:00:00+00:00,21395421.00000000,8024979.31793109
BERAUSDT,,2026-05-24T15:00:00+00:00,21365489.50000000,7975737.23035000
BERAUSDT,,2026-05-24T16:00:00+00:00,21428069.80000000,8008781.80108262
BERAUSDT,,2026-05-24T17:00:00+00:00,21366597.30000000,7993244.04993000
BERAUSDT,,2026-05-24T18:00:00+00:00,21384669.50000000,7986431.15483157
BERAUSDT,,2026-05-24T19:00:00+00:00,21382486.90000000,7983255.18917647
BERAUSDT,,2026-05-24T20:00:00+00:00,21478792.70000000,8011589.67710000
BERAUSDT,,2026-05-24T21:00:00+00:00,21462790.90000000,7945525.19118000
BERAUSDT,,2026-05-24T22:00:00+00:00,21381747.10000000,7795410.38445081
BERAUSDT,,2026-05-24T23:00:00+00:00,21404276.80000000,7901263.35165795
BERAUSDT,,2026-05-25T00:00:00+00:00,21408516.00000000,7933996.02960000
BERAUSDT,,2026-05-25T01:00:00+00:00,21452137.40000000,8032535.53927814
BERAUSDT,,2026-05-25T02:00:00+00:00,21467019.70000000,8010500.83441065
BERAUSDT,,2026-05-25T03:00:00+00:00,21462026.40000000,8065429.52112000
BERAUSDT,,2026-05-25T04:00:00+00:00,21402031.50000000,8012920.59360000
BERAUSDT,,2026-05-25T05:00:00+00:00,21522464.20000000,8163109.30888608
BERAUSDT,,2026-05-25T06:00:00+00:00,21436912.40000000,8158888.85944000
