symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
BIOUSDT,,2026-05-23T04:00:00+00:00,302946557.00000000,10525302.52450670
BIOUSDT,,2026-05-23T05:00:00+00:00,301215857.00000000,10431322.00332704
BIOUSDT,,2026-05-23T06:00:00+00:00,300026738.00000000,10320919.78720000
BIOUSDT,,2026-05-23T07:00:00+00:00,298347174.00000000,10151942.82690672
BIOUSDT,,2026-05-23T08:00:00+00:00,296155000.00000000,9707306.39745000
BIOUSDT,,2026-05-23T09:00:00+00:00,298150053.00000000,9856840.75218000
BIOUSDT,,2026-05-23T10:00:00+00:00,298933353.00000000,9875738.62038627
BIOUSDT,,2026-05-23T11:00:00+00:00,298949644.00000000,9843996.23691484
BIOUSDT,,2026-05-23T12:00:00+00:00,298541061.00000000,9815444.94520044
BIOUSDT,,2026-05-23T13:00:00+00:00,297788868.00000000,9937214.52516000
BIOUSDT,,2026-05-23T14:00:00+00:00,298639557.00000000,10135826.56458000
BIOUSDT,,2026-05-23T15:00:00+00:00,296181334.00000000,10044018.46783448
BIOUSDT,,2026-05-23T16:00:00+00:00,295743237.00000000,10055270.05800000
BIOUSDT,,2026-05-23T17:00:00+00:00,295093623.00000000,9977115.39363000
BIOUSDT,,2026-05-23T18:00:00+00:00,295451529.00000000,9977398.13433000
BIOUSDT,,2026-05-23T19:00:00+00:00,294659453.00000000,9984971.66089544
BIOUSDT,,2026-05-23T20:00:00+00:00,294441838.00000000,9981183.75613708
BIOUSDT,,2026-05-23T21:00:00+00:00,296836826.00000000,10294301.12568000
BIOUSDT,,2026-05-23T22:00:00+00:00,295982622.00000000,10208440.63278000
BIOUSDT,,2026-05-23T23:00:00+00:00,295609267.00000000,10189651.43349000
BIOUSDT,,2026-05-24T00:00:00+00:00,295659402.00000000,10170683.42880000
BIOUSDT,,2026-05-24T01:00:00+00:00,293789158.00000000,10042794.56454144
BIOUSDT,,2026-05-24T02:00:00+00:00,293867238.00000000,10006179.45390000
BIOUSDT,,2026-05-24T03:00:00+00:00,294032842.00000000,9993255.97678454
BIOUSDT,,2026-05-24T04:00:00+00:00,293265806.00000000,9900653.61056000
BIOUSDT,,2026-05-24T05:00:00+00:00,293048066.00000000,9896177.50968746
BIOUSDT,,2026-05-24T06:00:00+00:00,291920269.00000000,9785167.41688000
BIOUSDT,,2026-05-24T07:00:00+00:00,293884839.00000000,9899369.73699228
BIOUSDT,,2026-05-24T08:00:00+00:00,294781876.00000000,9940044.85872000
BIOUSDT,,2026-05-24T09:00:00+00:00,295883298.00000000,10017513.70207740
BIOUSDT,,2026-05-24T10:00:00+00:00,296206464.00000000,10034230.93317120
BIOUSDT,,2026-05-24T11:00:00+00:00,295456628.00000000,10013025.12292000
BIOUSDT,,2026-05-24T12:00:00+00:00,295954657.00000000,10003267.40660000
BIOUSDT,,2026-05-24T13:00:00+00:00,294342694.00000000,9858711.24940906
BIOUSDT,,2026-05-24T14:00:00+00:00,294879716.00000000,9763467.39676000
BIOUSDT,,2026-05-24T15:00:00+00:00,295977230.00000000,9755409.50080000
BIOUSDT,,2026-05-24T16:00:00+00:00,295987290.00000000,9803451.26967510
BIOUSDT,,2026-05-24T17:00:00+00:00,295924455.00000000,9894314.05252785
BIOUSDT,,2026-05-24T18:00:00+00:00,296312597.00000000,9902766.99174000
BIOUSDT,,2026-05-24T19:00:00+00:00,296922364.00000000,9976591.43040000
BIOUSDT,,2026-05-24T20:00:00+00:00,297459573.00000000,10107676.29054000
BIOUSDT,,2026-05-24T21:00:00+00:00,297999804.00000000,9988953.43008000
BIOUSDT,,2026-05-24T22:00:00+00:00,296840087.00000000,9721886.86775962
BIOUSDT,,2026-05-24T23:00:00+00:00,296622874.00000000,9853811.87428000
BIOUSDT,,2026-05-25T00:00:00+00:00,295645289.00000000,9866685.53145971
BIOUSDT,,2026-05-25T01:00:00+00:00,295340936.00000000,9970709.99936000
BIOUSDT,,2026-05-25T02:00:00+00:00,294607311.00000000,9978349.62357000
BIOUSDT,,2026-05-25T03:00:00+00:00,293935166.00000000,9905033.10257132
BIOUSDT,,2026-05-25T04:00:00+00:00,293024992.00000000,9917196.43424640
BIOUSDT,,2026-05-25T05:00:00+00:00,296111758.00000000,10412503.46948780
BIOUSDT,,2026-05-25T06:00:00+00:00,297284099.00000000,10516436.89348896
BIOUSDT,,2026-05-25T07:00:00+00:00,300878938.00000000,10557841.93442000
BIOUSDT,,2026-05-25T08:00:00+00:00,300454986.00000000,10390096.96641306
BIOUSDT,,2026-05-25T09:00:00+00:00,299966792.00000000,10370004.98250392
BIOUSDT,,2026-05-25T10:00:00+00:00,298869137.00000000,10257188.78184000
BIOUSDT,,2026-05-25T11:00:00+00:00,299593506.00000000,10294032.86616000
BIOUSDT,,2026-05-25T12:00:00+00:00,297960002.00000000,10109782.86786000
BIOUSDT,,2026-05-25T13:00:00+00:00,297691913.00000000,10148668.59062734
BIOUSDT,,2026-05-25T14:00:00+00:00,298019622.00000000,10225693.97300730
BIOUSDT,,2026-05-25T15:00:00+00:00,298739179.00000000,10446909.08963000
BIOUSDT,,2026-05-25T16:00:00+00:00,300544473.00000000,10575041.97943044
BIOUSDT,,2026-05-25T17:00:00+00:00,298981472.00000000,10432501.02378784
BIOUSDT,,2026-05-25T18:00:00+00:00,299769699.00000000,10376165.40954921
BIOUSDT,,2026-05-25T19:00:00+00:00,298630407.00000000,10240571.20445853
BIOUSDT,,2026-05-25T20:00:00+00:00,298548517.00000000,10284682.93470715
BIOUSDT,,2026-05-25T21:00:00+00:00,295545703.00000000,10049375.51905434
BIOUSDT,,2026-05-25T22:00:00+00:00,295308575.00000000,10104304.77997175
BIOUSDT,,2026-05-25T23:00:00+00:00,293412819.00000000,9824998.66329156
BIOUSDT,,2026-05-26T00:00:00+00:00,293507512.00000000,9902943.45488000
BIOUSDT,,2026-05-26T01:00:00+00:00,291580818.00000000,9791283.86844000
BIOUSDT,,2026-05-26T02:00:00+00:00,291179568.00000000,9754151.55354000
BIOUSDT,,2026-05-26T03:00:00+00:00,290956027.00000000,9748080.16531774
BIOUSDT,,2026-05-26T04:00:00+00:00,290214746.00000000,9690609.92019282
BIOUSDT,,2026-05-26T05:00:00+00:00,290217717.00000000,9801073.11877965
BIOUSDT,,2026-05-26T06:00:00+00:00,289744556.00000000,9818927.25753032
BIOUSDT,,2026-05-26T07:00:00+00:00,288999086.00000000,9760447.05122208
BIOUSDT,,2026-05-26T08:00:00+00:00,287923401.00000000,9590728.48731000
BIOUSDT,,2026-05-26T09:00:00+00:00,287984520.00000000,9550188.72976320
BIOUSDT,,2026-05-26T10:00:00+00:00,287197624.00000000,9483951.94680136
BIOUSDT,,2026-05-26T11:00:00+00:00,285853483.00000000,9621828.23778000
BIOUSDT,,2026-05-26T12:00:00+00:00,286458639.00000000,9544801.85148000
BIOUSDT,,2026-05-26T13:00:00+00:00,286137253.00000000,9623256.49936733
BIOUSDT,,2026-05-26T14:00:00+00:00,284751933.00000000,9641447.02215963
BIOUSDT,,2026-05-26T15:00:00+00:00,285472637.00000000,9598654.86887601
BIOUSDT,,2026-05-26T16:00:00+00:00,284992330.00000000,9460397.34227910
BIOUSDT,,2026-05-26T17:00:00+00:00,286745313.00000000,9523365.26318409
BIOUSDT,,2026-05-26T18:00:00+00:00,286988505.00000000,9347267.26578090
BIOUSDT,,2026-05-26T19:00:00+00:00,285885969.00000000,9359926.63707783
BIOUSDT,,2026-05-26T20:00:00+00:00,285144464.00000000,9398361.53344000
BIOUSDT,,2026-05-26T21:00:00+00:00,284614590.00000000,9349589.28150000
BIOUSDT,,2026-05-26T22:00:00+00:00,284335251.00000000,9363159.81543000
BIOUSDT,,2026-05-26T23:00:00+00:00,283798967.00000000,9340363.22200730
BIOUSDT,,2026-05-27T00:00:00+00:00,283290993.00000000,9345769.85907000
BIOUSDT,,2026-05-27T01:00:00+00:00,282460470.00000000,9499069.34177310
BIOUSDT,,2026-05-27T02:00:00+00:00,282000929.00000000,9337050.75919000
BIOUSDT,,2026-05-27T03:00:00+00:00,280999530.00000000,9250504.52760000
BIOUSDT,,2026-05-27T04:00:00+00:00,280993155.00000000,9140707.33215000
BIOUSDT,,2026-05-27T05:00:00+00:00,281711139.00000000,9106081.56504102
BIOUSDT,,2026-05-27T06:00:00+00:00,281356542.00000000,9039985.69446000
BIOUSDT,,2026-05-27T07:00:00+00:00,281262815.00000000,9011894.04073645
BIOUSDT,,2026-05-27T08:00:00+00:00,281546722.00000000,9073121.84770478
BIOUSDT,,2026-05-27T09:00:00+00:00,281274357.00000000,9009217.65471000
BIOUSDT,,2026-05-27T10:00:00+00:00,281049116.00000000,9021685.05507348
BIOUSDT,,2026-05-27T11:00:00+00:00,279273394.00000000,8984797.59543770
BIOUSDT,,2026-05-27T12:00:00+00:00,284094790.00000000,9022850.53040000
BIOUSDT,,2026-05-27T13:00:00+00:00,282612979.00000000,9201878.59624000
BIOUSDT,,2026-05-27T14:00:00+00:00,278341781.00000000,9090642.56746000
BIOUSDT,,2026-05-27T15:00:00+00:00,277569524.00000000,9125081.44732856
BIOUSDT,,2026-05-27T16:00:00+00:00,277480973.00000000,9270084.34598400
BIOUSDT,,2026-05-27T17:00:00+00:00,278684766.00000000,9218892.05928000
BIOUSDT,,2026-05-27T18:00:00+00:00,278039648.00000000,9055409.34659296
BIOUSDT,,2026-05-27T19:00:00+00:00,278598114.00000000,9118053.79835076
BIOUSDT,,2026-05-27T20:00:00+00:00,278659188.00000000,9114741.40486464
BIOUSDT,,2026-05-27T21:00:00+00:00,279455848.00000000,9128618.09945512
BIOUSDT,,2026-05-27T22:00:00+00:00,275959333.00000000,8647972.18365405
BIOUSDT,,2026-05-27T23:00:00+00:00,277078385.00000000,8672553.45050000
BIOUSDT,,2026-05-28T00:00:00+00:00,275623699.00000000,8574653.27589000
BIOUSDT,,2026-05-28T01:00:00+00:00,275420957.00000000,8546312.29571000
BIOUSDT,,2026-05-28T02:00:00+00:00,274130254.00000000,8434987.91558000
BIOUSDT,,2026-05-28T03:00:00+00:00,274059426.00000000,8387799.75848802
BIOUSDT,,2026-05-28T04:00:00+00:00,271031308.00000000,8085498.13090072
BIOUSDT,,2026-05-28T05:00:00+00:00,267908114.00000000,8223787.83977820
BIOUSDT,,2026-05-28T06:00:00+00:00,266328793.00000000,8147533.09874393
BIOUSDT,,2026-05-28T07:00:00+00:00,267621222.00000000,8245409.84982000
BIOUSDT,,2026-05-28T08:00:00+00:00,266943418.00000000,8220754.79808366
BIOUSDT,,2026-05-28T09:00:00+00:00,260393629.00000000,7843056.10548000
BIOUSDT,,2026-05-28T10:00:00+00:00,261803002.00000000,7849422.11247434
BIOUSDT,,2026-05-28T11:00:00+00:00,262115469.00000000,7761385.82175264
BIOUSDT,,2026-05-28T12:00:00+00:00,262199434.00000000,7741026.63573862
BIOUSDT,,2026-05-28T13:00:00+00:00,261664801.00000000,7779294.53373000
BIOUSDT,,2026-05-28T14:00:00+00:00,261524381.00000000,7777735.09094000
BIOUSDT,,2026-05-28T15:00:00+00:00,263422111.00000000,7944810.86776000
BIOUSDT,,2026-05-28T16:00:00+00:00,262574384.00000000,7903596.61389744
BIOUSDT,,2026-05-28T17:00:00+00:00,261282161.00000000,7871221.77452457
BIOUSDT,,2026-05-28T18:00:00+00:00,261252841.00000000,7895324.72038941
BIOUSDT,,2026-05-28T19:00:00+00:00,261060233.00000000,7899682.65058000
BIOUSDT,,2026-05-28T20:00:00+00:00,260837804.00000000,7848609.52236000
BIOUSDT,,2026-05-28T21:00:00+00:00,261392245.00000000,7858708.18139845
BIOUSDT,,2026-05-28T22:00:00+00:00,260409423.00000000,7848740.00922000
BIOUSDT,,2026-05-28T23:00:00+00:00,260513188.00000000,7787953.18077608
BIOUSDT,,2026-05-29T00:00:00+00:00,260751736.00000000,7803397.25747344
BIOUSDT,,2026-05-29T01:00:00+00:00,261163720.00000000,7896760.39217040
BIOUSDT,,2026-05-29T02:00:00+00:00,261144355.00000000,7907451.06940000
BIOUSDT,,2026-05-29T03:00:00+00:00,260330252.00000000,7804700.95496000
BIOUSDT,,2026-05-29T04:00:00+00:00,260370051.00000000,7806878.32777278
BIOUSDT,,2026-05-29T05:00:00+00:00,260154369.00000000,7856661.94380000
BIOUSDT,,2026-05-29T06:00:00+00:00,260244185.00000000,7806422.50267805
BIOUSDT,,2026-05-29T07:00:00+00:00,260095097.00000000,7808054.81194000
BIOUSDT,,2026-05-29T08:00:00+00:00,259073391.00000000,7740672.49831530
BIOUSDT,,2026-05-29T09:00:00+00:00,258971501.00000000,7671875.33422440
BIOUSDT,,2026-05-29T10:00:00+00:00,259817009.00000000,7693181.63649000
BIOUSDT,,2026-05-29T11:00:00+00:00,260581489.00000000,7734233.18311763
BIOUSDT,,2026-05-29T12:00:00+00:00,259997867.00000000,7652483.41968829
BIOUSDT,,2026-05-29T13:00:00+00:00,262034125.00000000,7624957.20678750
BIOUSDT,,2026-05-29T14:00:00+00:00,263955067.00000000,7661731.34553555
BIOUSDT,,2026-05-29T15:00:00+00:00,263457342.00000000,7616551.75722000
BIOUSDT,,2026-05-29T16:00:00+00:00,261348874.00000000,7775129.00150000
BIOUSDT,,2026-05-29T17:00:00+00:00,260298512.00000000,7876940.12536416
BIOUSDT,,2026-05-29T18:00:00+00:00,262082065.00000000,7997911.20283330
BIOUSDT,,2026-05-29T19:00:00+00:00,263955711.00000000,7897554.87312000
BIOUSDT,,2026-05-29T20:00:00+00:00,265735090.00000000,7974710.05090000
BIOUSDT,,2026-05-29T21:00:00+00:00,265978267.00000000,8091058.88214000
BIOUSDT,,2026-05-29T22:00:00+00:00,265446018.00000000,8181197.57899026
