symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
FFUSDT,,2026-05-23T01:00:00+00:00,393354380.00000000,34579783.54580000
FFUSDT,,2026-05-23T02:00:00+00:00,392905225.00000000,34662098.94950000
FFUSDT,,2026-05-23T03:00:00+00:00,392468858.00000000,34625749.45741326
FFUSDT,,2026-05-23T04:00:00+00:00,392558941.00000000,34621402.12639515
FFUSDT,,2026-05-23T05:00:00+00:00,392573351.00000000,34381574.08058000
FFUSDT,,2026-05-23T06:00:00+00:00,392827383.00000000,34572737.97783000
FFUSDT,,2026-05-23T07:00:00+00:00,392837946.00000000,34361535.13662000
FFUSDT,,2026-05-23T08:00:00+00:00,394605966.00000000,32196658.40939472
FFUSDT,,2026-05-23T09:00:00+00:00,394654751.00000000,31951248.64096000
FFUSDT,,2026-05-23T10:00:00+00:00,393686062.00000000,31612856.92533892
FFUSDT,,2026-05-23T11:00:00+00:00,393174031.00000000,31566130.41670709
FFUSDT,,2026-05-23T12:00:00+00:00,392770843.00000000,31320434.68292518
FFUSDT,,2026-05-23T13:00:00+00:00,393334555.00000000,31443235.12691990
FFUSDT,,2026-05-23T14:00:00+00:00,393267042.00000000,31546269.71436780
FFUSDT,,2026-05-23T15:00:00+00:00,396503849.00000000,34166597.89198285
FFUSDT,,2026-05-23T16:00:00+00:00,399538993.00000000,35591125.27515664
FFUSDT,,2026-05-23T17:00:00+00:00,398700538.00000000,34527466.59080000
FFUSDT,,2026-05-23T18:00:00+00:00,397923564.00000000,34826270.32128000
FFUSDT,,2026-05-23T19:00:00+00:00,397448652.00000000,34779288.79791324
FFUSDT,,2026-05-23T20:00:00+00:00,397493082.00000000,34466625.14022000
FFUSDT,,2026-05-23T21:00:00+00:00,397355411.00000000,34787659.60156567
FFUSDT,,2026-05-23T22:00:00+00:00,397725701.00000000,34628632.47320062
FFUSDT,,2026-05-23T23:00:00+00:00,397654873.00000000,34452818.19672000
FFUSDT,,2026-05-24T00:00:00+00:00,397849146.00000000,34327200.12271470
FFUSDT,,2026-05-24T01:00:00+00:00,397608435.00000000,33983592.93945000
FFUSDT,,2026-05-24T02:00:00+00:00,397279308.00000000,34118346.97104000
FFUSDT,,2026-05-24T03:00:00+00:00,397199244.00000000,34803852.90889104
FFUSDT,,2026-05-24T04:00:00+00:00,397156661.00000000,34346108.04328000
FFUSDT,,2026-05-24T05:00:00+00:00,397303554.00000000,34466083.30950000
FFUSDT,,2026-05-24T06:00:00+00:00,397444992.00000000,34605535.45344000
FFUSDT,,2026-05-24T07:00:00+00:00,397514230.00000000,34537940.39556170
FFUSDT,,2026-05-24T08:00:00+00:00,397564068.00000000,34303628.75226804
FFUSDT,,2026-05-24T09:00:00+00:00,397417862.00000000,34372670.88438000
FFUSDT,,2026-05-24T10:00:00+00:00,397352428.00000000,34361679.02813624
FFUSDT,,2026-05-24T11:00:00+00:00,397711314.00000000,34443561.65352102
FFUSDT,,2026-05-24T12:00:00+00:00,397373831.00000000,34327313.23542064
FFUSDT,,2026-05-24T13:00:00+00:00,397249993.00000000,34252113.95393851
FFUSDT,,2026-05-24T14:00:00+00:00,397304044.00000000,34468946.67571240
FFUSDT,,2026-05-24T15:00:00+00:00,395795538.00000000,33656576.48066988
FFUSDT,,2026-05-24T16:00:00+00:00,395742364.00000000,33742739.17846524
FFUSDT,,2026-05-24T17:00:00+00:00,396004266.00000000,33834604.48704000
FFUSDT,,2026-05-24T18:00:00+00:00,396002300.00000000,33699795.73000000
FFUSDT,,2026-05-24T19:00:00+00:00,396097106.00000000,33981333.12355346
FFUSDT,,2026-05-24T20:00:00+00:00,396509684.00000000,33926506.54583308
FFUSDT,,2026-05-24T21:00:00+00:00,396484039.00000000,34021807.71122203
FFUSDT,,2026-05-24T22:00:00+00:00,396755530.00000000,33876907.44816520
FFUSDT,,2026-05-24T23:00:00+00:00,396351273.00000000,33640187.46346764
FFUSDT,,2026-05-25T00:00:00+00:00,396162659.00000000,33713442.28090000
FFUSDT,,2026-05-25T01:00:00+00:00,396018922.00000000,33449714.48559468
FFUSDT,,2026-05-25T02:00:00+00:00,396356910.00000000,33505504.23215970
FFUSDT,,2026-05-25T03:00:00+00:00,396580704.00000000,34397637.54921312
FFUSDT,,2026-05-25T04:00:00+00:00,396269693.00000000,34034938.19868576
FFUSDT,,2026-05-25T05:00:00+00:00,396328104.00000000,34349729.03071272
FFUSDT,,2026-05-25T06:00:00+00:00,396060690.00000000,34422854.43482520
FFUSDT,,2026-05-25T07:00:00+00:00,396173905.00000000,34657293.20940000
FFUSDT,,2026-05-25T08:00:00+00:00,396369989.00000000,34778458.08653349
FFUSDT,,2026-05-25T09:00:00+00:00,396525656.00000000,34597930.14001464
FFUSDT,,2026-05-25T10:00:00+00:00,396597120.00000000,34559473.03680000
FFUSDT,,2026-05-25T11:00:00+00:00,396755825.00000000,34748010.05048050
FFUSDT,,2026-05-25T12:00:00+00:00,396228406.00000000,34449916.30602354
FFUSDT,,2026-05-25T13:00:00+00:00,395891859.00000000,34477849.86196254
FFUSDT,,2026-05-25T14:00:00+00:00,396134787.00000000,34594450.94871000
FFUSDT,,2026-05-25T15:00:00+00:00,395989951.00000000,34562002.92328000
FFUSDT,,2026-05-25T16:00:00+00:00,396091545.00000000,34574830.96305000
FFUSDT,,2026-05-25T17:00:00+00:00,396131235.00000000,35180414.98035000
FFUSDT,,2026-05-25T18:00:00+00:00,397355710.00000000,36323040.42694900
FFUSDT,,2026-05-25T19:00:00+00:00,397762081.00000000,36327559.14865947
FFUSDT,,2026-05-25T20:00:00+00:00,398036003.00000000,36236692.20739619
FFUSDT,,2026-05-25T21:00:00+00:00,398040143.00000000,36444555.49308000
FFUSDT,,2026-05-25T22:00:00+00:00,397551883.00000000,36153368.24002000
FFUSDT,,2026-05-25T23:00:00+00:00,397320779.00000000,35618234.44706516
FFUSDT,,2026-05-26T00:00:00+00:00,396727231.00000000,35801470.68171893
FFUSDT,,2026-05-26T01:00:00+00:00,395612782.00000000,35146207.90385744
FFUSDT,,2026-05-26T02:00:00+00:00,395128221.00000000,34888628.62707258
FFUSDT,,2026-05-26T03:00:00+00:00,395018888.00000000,35093604.41596416
FFUSDT,,2026-05-26T04:00:00+00:00,395004373.00000000,35318040.14767021
FFUSDT,,2026-05-26T05:00:00+00:00,395145806.00000000,35543365.24970000
FFUSDT,,2026-05-26T06:00:00+00:00,394878974.00000000,35565991.02054992
FFUSDT,,2026-05-26T07:00:00+00:00,395013344.00000000,35492956.24242720
FFUSDT,,2026-05-26T08:00:00+00:00,395055792.00000000,35347498.47246240
FFUSDT,,2026-05-26T09:00:00+00:00,395067841.00000000,35400113.15298115
FFUSDT,,2026-05-26T10:00:00+00:00,394873746.00000000,35227318.67865360
FFUSDT,,2026-05-26T11:00:00+00:00,394508777.00000000,35009052.09361599
FFUSDT,,2026-05-26T12:00:00+00:00,394133768.00000000,34821217.85291464
FFUSDT,,2026-05-26T13:00:00+00:00,393860890.00000000,34907890.68070000
FFUSDT,,2026-05-26T14:00:00+00:00,398100931.00000000,37299071.47771750
FFUSDT,,2026-05-26T15:00:00+00:00,398292628.00000000,38128525.39795604
FFUSDT,,2026-05-26T16:00:00+00:00,395317446.00000000,38636892.16971102
FFUSDT,,2026-05-26T17:00:00+00:00,396625335.00000000,38962660.33261905
FFUSDT,,2026-05-26T18:00:00+00:00,393672400.00000000,37579967.30400000
FFUSDT,,2026-05-26T19:00:00+00:00,393397928.00000000,36660347.71045416
FFUSDT,,2026-05-26T20:00:00+00:00,392991753.00000000,36603251.87442000
FFUSDT,,2026-05-26T21:00:00+00:00,392393722.00000000,36441604.96214000
FFUSDT,,2026-05-26T22:00:00+00:00,391940379.00000000,36698565.26511837
FFUSDT,,2026-05-26T23:00:00+00:00,391111910.00000000,36950344.63067920
FFUSDT,,2026-05-27T00:00:00+00:00,390550117.00000000,36980518.83252876
FFUSDT,,2026-05-27T01:00:00+00:00,389351557.00000000,37148032.05337000
FFUSDT,,2026-05-27T02:00:00+00:00,386780670.00000000,36239012.62375320
FFUSDT,,2026-05-27T03:00:00+00:00,386604220.00000000,36507036.49460000
FFUSDT,,2026-05-27T04:00:00+00:00,386384566.00000000,36214163.91754620
FFUSDT,,2026-05-27T05:00:00+00:00,386086468.00000000,35871444.31560252
FFUSDT,,2026-05-27T06:00:00+00:00,386799552.00000000,36485065.01017152
FFUSDT,,2026-05-27T07:00:00+00:00,386554718.00000000,36310766.17476330
FFUSDT,,2026-05-27T08:00:00+00:00,386219328.00000000,36223510.77312000
FFUSDT,,2026-05-27T09:00:00+00:00,384667118.00000000,35895981.45040600
FFUSDT,,2026-05-27T10:00:00+00:00,383037255.00000000,36217424.99207385
FFUSDT,,2026-05-27T11:00:00+00:00,382996913.00000000,36938114.29447022
FFUSDT,,2026-05-27T12:00:00+00:00,383150030.00000000,36568620.48926120
FFUSDT,,2026-05-27T13:00:00+00:00,383767982.00000000,37309811.91732522
FFUSDT,,2026-05-27T14:00:00+00:00,418344550.00000000,45579379.19235350
FFUSDT,,2026-05-27T15:00:00+00:00,415392512.00000000,42440652.95104000
FFUSDT,,2026-05-27T16:00:00+00:00,412060065.00000000,43351405.46962380
FFUSDT,,2026-05-27T17:00:00+00:00,408936588.00000000,43596729.64668000
FFUSDT,,2026-05-27T18:00:00+00:00,406603586.00000000,42899585.53863990
FFUSDT,,2026-05-27T19:00:00+00:00,405507938.00000000,42940735.93419060
FFUSDT,,2026-05-27T20:00:00+00:00,404388246.00000000,42476941.35984000
FFUSDT,,2026-05-27T21:00:00+00:00,404185688.00000000,42766887.64728000
FFUSDT,,2026-05-27T22:00:00+00:00,402898720.00000000,41651697.87651040
FFUSDT,,2026-05-27T23:00:00+00:00,402348260.00000000,41039522.52000000
FFUSDT,,2026-05-28T00:00:00+00:00,403385086.00000000,41307988.18028896
FFUSDT,,2026-05-28T01:00:00+00:00,403671818.00000000,41146268.40874000
FFUSDT,,2026-05-28T02:00:00+00:00,402906744.00000000,41174478.54643608
FFUSDT,,2026-05-28T03:00:00+00:00,402058775.00000000,40845150.95225000
FFUSDT,,2026-05-28T04:00:00+00:00,402728353.00000000,41042046.45423000
FFUSDT,,2026-05-28T05:00:00+00:00,402250548.00000000,41098300.51465320
FFUSDT,,2026-05-28T06:00:00+00:00,402059207.00000000,41094471.54747000
FFUSDT,,2026-05-28T07:00:00+00:00,402464666.00000000,41331744.76904228
FFUSDT,,2026-05-28T08:00:00+00:00,405587510.00000000,42561416.39225190
FFUSDT,,2026-05-28T09:00:00+00:00,405736359.00000000,42082975.15548000
FFUSDT,,2026-05-28T10:00:00+00:00,406448299.00000000,41986109.28670000
FFUSDT,,2026-05-28T11:00:00+00:00,404351181.00000000,41502605.21784000
FFUSDT,,2026-05-28T12:00:00+00:00,403527762.00000000,41007354.72385068
FFUSDT,,2026-05-28T13:00:00+00:00,403579828.00000000,41032639.12687104
FFUSDT,,2026-05-28T14:00:00+00:00,398850765.00000000,40603007.87700000
FFUSDT,,2026-05-28T15:00:00+00:00,398467975.00000000,40382812.63529025
FFUSDT,,2026-05-28T16:00:00+00:00,397884923.00000000,40166482.97685000
FFUSDT,,2026-05-28T17:00:00+00:00,397280653.00000000,39614454.95166159
FFUSDT,,2026-05-28T18:00:00+00:00,397210535.00000000,39615363.72084720
FFUSDT,,2026-05-28T19:00:00+00:00,396664415.00000000,39587108.61700000
FFUSDT,,2026-05-28T20:00:00+00:00,395599802.00000000,39855390.39614548
FFUSDT,,2026-05-28T21:00:00+00:00,395273707.00000000,40243903.11236425
FFUSDT,,2026-05-28T22:00:00+00:00,395135969.00000000,40327027.75714309
FFUSDT,,2026-05-28T23:00:00+00:00,395302774.00000000,40064359.11886818
FFUSDT,,2026-05-29T00:00:00+00:00,395664086.00000000,40283751.54455886
FFUSDT,,2026-05-29T01:00:00+00:00,396921181.00000000,41032167.66838591
FFUSDT,,2026-05-29T02:00:00+00:00,396086791.00000000,40038995.71147822
FFUSDT,,2026-05-29T03:00:00+00:00,395029146.00000000,39846589.95702000
FFUSDT,,2026-05-29T04:00:00+00:00,394488647.00000000,40215293.02293748
FFUSDT,,2026-05-29T05:00:00+00:00,394678385.00000000,40861053.19905000
FFUSDT,,2026-05-29T06:00:00+00:00,394677525.00000000,41206413.56055675
FFUSDT,,2026-05-29T07:00:00+00:00,395167864.00000000,41789001.61800000
FFUSDT,,2026-05-29T08:00:00+00:00,393922105.00000000,41109710.87780000
FFUSDT,,2026-05-29T09:00:00+00:00,393532212.00000000,41445706.74232428
FFUSDT,,2026-05-29T10:00:00+00:00,393525289.00000000,43634084.04432000
FFUSDT,,2026-05-29T11:00:00+00:00,394282903.00000000,43883687.10390000
FFUSDT,,2026-05-29T12:00:00+00:00,393841023.00000000,43310697.29931000
FFUSDT,,2026-05-29T13:00:00+00:00,392231069.00000000,42243286.13130000
