symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
HIVEUSDT,,2026-05-23T04:00:00+00:00,31664158.00000000,1930563.07997684
HIVEUSDT,,2026-05-23T05:00:00+00:00,31646982.00000000,1932418.83725922
HIVEUSDT,,2026-05-23T06:00:00+00:00,30978178.00000000,1901570.98376938
HIVEUSDT,,2026-05-23T07:00:00+00:00,30445584.00000000,1843784.56704000
HIVEUSDT,,2026-05-23T08:00:00+00:00,28545513.00000000,1654783.38861000
HIVEUSDT,,2026-05-23T09:00:00+00:00,28364836.00000000,1658922.53913048
HIVEUSDT,,2026-05-23T10:00:00+00:00,28063048.00000000,1641547.99276000
HIVEUSDT,,2026-05-23T11:00:00+00:00,27585138.00000000,1621684.19583954
HIVEUSDT,,2026-05-23T12:00:00+00:00,27363964.00000000,1597311.47141884
HIVEUSDT,,2026-05-23T13:00:00+00:00,27151936.00000000,1592170.79220416
HIVEUSDT,,2026-05-23T14:00:00+00:00,27001871.00000000,1604451.17482000
HIVEUSDT,,2026-05-23T15:00:00+00:00,27000994.00000000,1620650.96176860
HIVEUSDT,,2026-05-23T16:00:00+00:00,26595303.00000000,1593856.50879000
HIVEUSDT,,2026-05-23T17:00:00+00:00,26490574.00000000,1589699.34574000
HIVEUSDT,,2026-05-23T18:00:00+00:00,26446528.00000000,1588751.36772480
HIVEUSDT,,2026-05-23T19:00:00+00:00,26546249.00000000,1596959.15976738
HIVEUSDT,,2026-05-23T20:00:00+00:00,26862191.00000000,1622528.18042863
HIVEUSDT,,2026-05-23T21:00:00+00:00,26508210.00000000,1628664.42240000
HIVEUSDT,,2026-05-23T22:00:00+00:00,26263829.00000000,1602759.61970344
HIVEUSDT,,2026-05-23T23:00:00+00:00,26367302.00000000,1603573.08656246
HIVEUSDT,,2026-05-24T00:00:00+00:00,26600942.00000000,1621162.22305018
HIVEUSDT,,2026-05-24T01:00:00+00:00,29195907.00000000,1782853.02425919
HIVEUSDT,,2026-05-24T02:00:00+00:00,29234539.00000000,1776686.42529806
HIVEUSDT,,2026-05-24T03:00:00+00:00,28631200.00000000,1742208.52000000
HIVEUSDT,,2026-05-24T04:00:00+00:00,28043768.00000000,1698533.62696032
HIVEUSDT,,2026-05-24T05:00:00+00:00,27753063.00000000,1684633.95914229
HIVEUSDT,,2026-05-24T06:00:00+00:00,27553468.00000000,1673597.64632000
HIVEUSDT,,2026-05-24T07:00:00+00:00,27324898.00000000,1666499.89644034
HIVEUSDT,,2026-05-24T08:00:00+00:00,27428398.00000000,1674937.88944034
HIVEUSDT,,2026-05-24T09:00:00+00:00,27119234.00000000,1662515.35159728
HIVEUSDT,,2026-05-24T10:00:00+00:00,26842505.00000000,1649471.93225000
HIVEUSDT,,2026-05-24T11:00:00+00:00,26857608.00000000,1640302.62529632
HIVEUSDT,,2026-05-24T12:00:00+00:00,26523348.00000000,1613680.49232000
HIVEUSDT,,2026-05-24T13:00:00+00:00,26359722.00000000,1598980.73652000
HIVEUSDT,,2026-05-24T14:00:00+00:00,26203144.00000000,1583248.20098808
HIVEUSDT,,2026-05-24T15:00:00+00:00,25809365.00000000,1555177.35643680
HIVEUSDT,,2026-05-24T16:00:00+00:00,25719477.00000000,1544340.65656689
HIVEUSDT,,2026-05-24T17:00:00+00:00,25840831.00000000,1556276.96739050
HIVEUSDT,,2026-05-24T18:00:00+00:00,25770714.00000000,1548819.91140000
HIVEUSDT,,2026-05-24T19:00:00+00:00,25643596.00000000,1536051.40040000
HIVEUSDT,,2026-05-24T20:00:00+00:00,25620045.00000000,1532591.09190000
HIVEUSDT,,2026-05-24T21:00:00+00:00,25497469.00000000,1515569.55736000
HIVEUSDT,,2026-05-24T22:00:00+00:00,25069657.00000000,1474008.08780050
HIVEUSDT,,2026-05-24T23:00:00+00:00,25037536.00000000,1490734.89344000
HIVEUSDT,,2026-05-25T00:00:00+00:00,25103225.00000000,1503277.00731950
HIVEUSDT,,2026-05-25T01:00:00+00:00,34145988.00000000,2173203.99180612
HIVEUSDT,,2026-05-25T02:00:00+00:00,37303678.00000000,2372140.88402000
HIVEUSDT,,2026-05-25T03:00:00+00:00,40907094.00000000,2665753.73295870
HIVEUSDT,,2026-05-25T04:00:00+00:00,43153357.00000000,2785117.66078000
HIVEUSDT,,2026-05-25T05:00:00+00:00,41657069.00000000,2647306.73495000
HIVEUSDT,,2026-05-25T06:00:00+00:00,41264331.00000000,2642567.75724000
HIVEUSDT,,2026-05-25T07:00:00+00:00,38735042.00000000,2431785.93676000
HIVEUSDT,,2026-05-25T08:00:00+00:00,37393021.00000000,2332532.15228501
HIVEUSDT,,2026-05-25T09:00:00+00:00,37503493.00000000,2329621.35125285
HIVEUSDT,,2026-05-25T10:00:00+00:00,36104854.00000000,2245721.91880000
HIVEUSDT,,2026-05-25T11:00:00+00:00,35494615.00000000,2215535.53411580
HIVEUSDT,,2026-05-25T12:00:00+00:00,35470066.00000000,2193906.22735378
HIVEUSDT,,2026-05-25T13:00:00+00:00,35128558.00000000,2173325.54677566
HIVEUSDT,,2026-05-25T14:00:00+00:00,35182404.00000000,2179549.92780000
HIVEUSDT,,2026-05-25T15:00:00+00:00,35019110.00000000,2184141.89070000
