symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
HOMEUSDT,,2026-05-23T06:00:00+00:00,404305536.00000000,9253251.85521408
HOMEUSDT,,2026-05-23T07:00:00+00:00,403895329.00000000,9304940.58950200
HOMEUSDT,,2026-05-23T08:00:00+00:00,403584886.00000000,9231600.68236400
HOMEUSDT,,2026-05-23T09:00:00+00:00,404358057.00000000,9176906.10361500
HOMEUSDT,,2026-05-23T10:00:00+00:00,405523813.00000000,9114958.74480100
HOMEUSDT,,2026-05-23T11:00:00+00:00,405274151.00000000,8968380.58408467
HOMEUSDT,,2026-05-23T12:00:00+00:00,404902182.00000000,8918274.23518650
HOMEUSDT,,2026-05-23T13:00:00+00:00,404524413.00000000,8798535.43056216
HOMEUSDT,,2026-05-23T14:00:00+00:00,405667686.00000000,8762016.34991400
HOMEUSDT,,2026-05-23T15:00:00+00:00,403762642.00000000,8927353.51967680
HOMEUSDT,,2026-05-23T16:00:00+00:00,405330861.00000000,9139027.34943588
HOMEUSDT,,2026-05-23T17:00:00+00:00,403388372.00000000,9129889.02347600
HOMEUSDT,,2026-05-23T18:00:00+00:00,398112014.00000000,9529209.16710400
HOMEUSDT,,2026-05-23T19:00:00+00:00,400588257.00000000,9619321.80945843
HOMEUSDT,,2026-05-23T20:00:00+00:00,403467032.00000000,9419341.32907200
HOMEUSDT,,2026-05-23T21:00:00+00:00,405287421.00000000,9647867.05690500
HOMEUSDT,,2026-05-23T22:00:00+00:00,404151164.00000000,9334275.28374400
HOMEUSDT,,2026-05-23T23:00:00+00:00,404760761.00000000,9321531.04042453
HOMEUSDT,,2026-05-24T00:00:00+00:00,405648557.00000000,9289757.60385700
HOMEUSDT,,2026-05-24T01:00:00+00:00,405921323.00000000,9318378.60134676
HOMEUSDT,,2026-05-24T02:00:00+00:00,406729750.00000000,9352555.37097000
HOMEUSDT,,2026-05-24T03:00:00+00:00,407740028.00000000,9346587.96524148
HOMEUSDT,,2026-05-24T04:00:00+00:00,408641722.00000000,9412653.42454800
HOMEUSDT,,2026-05-24T05:00:00+00:00,408897576.00000000,9504824.15412000
HOMEUSDT,,2026-05-24T06:00:00+00:00,408442226.00000000,9409516.37243082
HOMEUSDT,,2026-05-24T07:00:00+00:00,408696686.00000000,9364058.46963200
HOMEUSDT,,2026-05-24T08:00:00+00:00,409166908.00000000,9374214.35406492
HOMEUSDT,,2026-05-24T09:00:00+00:00,408418934.00000000,9270007.07067820
HOMEUSDT,,2026-05-24T10:00:00+00:00,407626282.00000000,9355214.75625254
HOMEUSDT,,2026-05-24T11:00:00+00:00,406774426.00000000,9241101.40986800
HOMEUSDT,,2026-05-24T12:00:00+00:00,406488731.00000000,9081364.73927100
HOMEUSDT,,2026-05-24T13:00:00+00:00,406777843.00000000,9105722.01555500
HOMEUSDT,,2026-05-24T14:00:00+00:00,406471686.00000000,9010664.33524800
HOMEUSDT,,2026-05-24T15:00:00+00:00,406587152.00000000,8920928.70203200
HOMEUSDT,,2026-05-24T16:00:00+00:00,406563184.00000000,8869988.98532800
HOMEUSDT,,2026-05-24T17:00:00+00:00,407398016.00000000,8874689.12288128
HOMEUSDT,,2026-05-24T18:00:00+00:00,407719170.00000000,8764331.27832000
HOMEUSDT,,2026-05-24T19:00:00+00:00,411158156.00000000,9064569.50518308
HOMEUSDT,,2026-05-24T20:00:00+00:00,410748912.00000000,9200451.13715952
HOMEUSDT,,2026-05-24T21:00:00+00:00,410163449.00000000,9243443.48666400
HOMEUSDT,,2026-05-24T22:00:00+00:00,407003353.00000000,9163680.49279500
HOMEUSDT,,2026-05-24T23:00:00+00:00,407160213.00000000,9333740.72281200
HOMEUSDT,,2026-05-25T00:00:00+00:00,406639157.00000000,9354091.31691694
HOMEUSDT,,2026-05-25T01:00:00+00:00,406592617.00000000,9363547.42060427
HOMEUSDT,,2026-05-25T02:00:00+00:00,406410501.00000000,9411959.19003375
HOMEUSDT,,2026-05-25T03:00:00+00:00,406065185.00000000,9382919.80523205
HOMEUSDT,,2026-05-25T04:00:00+00:00,406391626.00000000,9417719.54092400
HOMEUSDT,,2026-05-25T05:00:00+00:00,407918053.00000000,9368246.00519800
HOMEUSDT,,2026-05-25T06:00:00+00:00,407151498.00000000,9408786.60849738
HOMEUSDT,,2026-05-25T07:00:00+00:00,406442599.00000000,9319549.96032644
HOMEUSDT,,2026-05-25T08:00:00+00:00,405337981.00000000,9461622.08839155
HOMEUSDT,,2026-05-25T09:00:00+00:00,405483156.00000000,9432754.65802800
HOMEUSDT,,2026-05-25T10:00:00+00:00,405884407.00000000,9445096.56349687
HOMEUSDT,,2026-05-25T11:00:00+00:00,406694814.00000000,9644767.51401000
HOMEUSDT,,2026-05-25T12:00:00+00:00,407663400.00000000,9793297.85820000
HOMEUSDT,,2026-05-25T13:00:00+00:00,409821617.00000000,9784081.28425800
