symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
INITUSDT,,2026-05-22T16:00:00+00:00,23239722.00000000,1968740.26738290
INITUSDT,,2026-05-22T17:00:00+00:00,23354204.00000000,1979370.37978740
INITUSDT,,2026-05-22T18:00:00+00:00,23440819.00000000,1984734.14473000
INITUSDT,,2026-05-22T19:00:00+00:00,23261611.00000000,1938968.56089557
INITUSDT,,2026-05-22T20:00:00+00:00,22920226.00000000,1860216.31466622
INITUSDT,,2026-05-22T21:00:00+00:00,23007155.00000000,1882107.21692150
INITUSDT,,2026-05-22T22:00:00+00:00,22964952.00000000,1887030.10584000
INITUSDT,,2026-05-22T23:00:00+00:00,22954194.00000000,1877873.88854628
INITUSDT,,2026-05-23T00:00:00+00:00,22804204.00000000,1846163.81994268
INITUSDT,,2026-05-23T01:00:00+00:00,22826698.00000000,1865626.02754000
INITUSDT,,2026-05-23T02:00:00+00:00,22884095.00000000,1876724.63095000
INITUSDT,,2026-05-23T03:00:00+00:00,22915332.00000000,1885702.67028000
INITUSDT,,2026-05-23T04:00:00+00:00,22993127.00000000,1892104.42083000
INITUSDT,,2026-05-23T05:00:00+00:00,22933059.00000000,1884409.45803000
INITUSDT,,2026-05-23T06:00:00+00:00,22872707.00000000,1870604.31475775
INITUSDT,,2026-05-23T07:00:00+00:00,22790447.00000000,1862435.32884000
INITUSDT,,2026-05-23T08:00:00+00:00,22714565.00000000,1813076.57830000
INITUSDT,,2026-05-23T09:00:00+00:00,22572949.00000000,1800540.98335307
INITUSDT,,2026-05-23T10:00:00+00:00,22702317.00000000,1808239.54905000
INITUSDT,,2026-05-23T11:00:00+00:00,22837114.00000000,1826031.19972802
INITUSDT,,2026-05-23T12:00:00+00:00,22829899.00000000,1814292.07353000
INITUSDT,,2026-05-23T13:00:00+00:00,22762414.00000000,1824923.73364952
INITUSDT,,2026-05-23T14:00:00+00:00,22744071.00000000,1833172.12260000
INITUSDT,,2026-05-23T15:00:00+00:00,22696502.00000000,1850876.58766796
INITUSDT,,2026-05-23T16:00:00+00:00,22722558.00000000,1860751.18352232
INITUSDT,,2026-05-23T17:00:00+00:00,22793645.00000000,1873181.74610000
INITUSDT,,2026-05-23T18:00:00+00:00,22804072.00000000,1878430.47318648
INITUSDT,,2026-05-23T19:00:00+00:00,22894395.00000000,1898655.07174500
INITUSDT,,2026-05-23T20:00:00+00:00,22938681.00000000,1903681.13619000
INITUSDT,,2026-05-23T21:00:00+00:00,23022745.00000000,1943939.97840435
INITUSDT,,2026-05-23T22:00:00+00:00,23074200.00000000,1949656.60567800
INITUSDT,,2026-05-23T23:00:00+00:00,23116044.00000000,1942441.17732000
INITUSDT,,2026-05-24T00:00:00+00:00,23674243.00000000,1964015.19928000
INITUSDT,,2026-05-24T01:00:00+00:00,23755209.00000000,1971800.41038873
INITUSDT,,2026-05-24T02:00:00+00:00,23617146.00000000,1961876.31822000
INITUSDT,,2026-05-24T03:00:00+00:00,23533922.00000000,1945236.56591662
INITUSDT,,2026-05-24T04:00:00+00:00,23436493.00000000,1932613.99227782
INITUSDT,,2026-05-24T05:00:00+00:00,23381800.00000000,1935682.42134800
INITUSDT,,2026-05-24T06:00:00+00:00,23331807.00000000,1908065.37710106
INITUSDT,,2026-05-24T07:00:00+00:00,23385505.00000000,1925950.91493805
INITUSDT,,2026-05-24T08:00:00+00:00,23366157.00000000,1921760.09723565
INITUSDT,,2026-05-24T09:00:00+00:00,23311013.00000000,1911036.84574000
INITUSDT,,2026-05-24T10:00:00+00:00,23363130.00000000,1924733.61677940
INITUSDT,,2026-05-24T11:00:00+00:00,23378696.00000000,1911938.28088912
INITUSDT,,2026-05-24T12:00:00+00:00,23312071.00000000,1902731.23502000
INITUSDT,,2026-05-24T13:00:00+00:00,23299283.00000000,1894350.06825764
INITUSDT,,2026-05-24T14:00:00+00:00,23333564.00000000,1892360.90715432
INITUSDT,,2026-05-24T15:00:00+00:00,23074720.00000000,1879663.69148640
INITUSDT,,2026-05-24T16:00:00+00:00,22963215.00000000,1892224.94624460
INITUSDT,,2026-05-24T17:00:00+00:00,23035534.00000000,1896054.80354000
INITUSDT,,2026-05-24T18:00:00+00:00,22966212.00000000,1894393.02999108
INITUSDT,,2026-05-24T19:00:00+00:00,22903859.00000000,1885674.71147000
INITUSDT,,2026-05-24T20:00:00+00:00,22873315.00000000,1874010.69795000
INITUSDT,,2026-05-24T21:00:00+00:00,22778386.00000000,1856894.02672000
INITUSDT,,2026-05-24T22:00:00+00:00,22532250.00000000,1802580.00000000
INITUSDT,,2026-05-24T23:00:00+00:00,22309175.00000000,1805704.62450000
INITUSDT,,2026-05-25T00:00:00+00:00,22362402.00000000,1817392.41054000
INITUSDT,,2026-05-25T01:00:00+00:00,22348290.00000000,1820044.73760000
INITUSDT,,2026-05-25T02:00:00+00:00,22309116.00000000,1808600.03412000
INITUSDT,,2026-05-25T03:00:00+00:00,22174608.00000000,1822874.95969008
INITUSDT,,2026-05-25T04:00:00+00:00,22333559.00000000,1843188.62427000
INITUSDT,,2026-05-25T05:00:00+00:00,22292976.00000000,1845635.48304000
INITUSDT,,2026-05-25T06:00:00+00:00,22228719.00000000,1837178.06232315
INITUSDT,,2026-05-25T07:00:00+00:00,22220904.00000000,1848779.21280000
INITUSDT,,2026-05-25T08:00:00+00:00,22179442.00000000,1843678.53673752
INITUSDT,,2026-05-25T09:00:00+00:00,22096842.00000000,1847737.92804000
INITUSDT,,2026-05-25T10:00:00+00:00,22048369.00000000,1833762.84973000
INITUSDT,,2026-05-25T11:00:00+00:00,22068380.00000000,1853302.55240000
INITUSDT,,2026-05-25T12:00:00+00:00,22012195.00000000,1838018.28250000
INITUSDT,,2026-05-25T13:00:00+00:00,21910622.00000000,1825593.02504000
INITUSDT,,2026-05-25T14:00:00+00:00,21919462.00000000,1829398.29852000
INITUSDT,,2026-05-25T15:00:00+00:00,21954261.00000000,1834440.96808140
INITUSDT,,2026-05-25T16:00:00+00:00,22023747.00000000,1837000.73727000
INITUSDT,,2026-05-25T17:00:00+00:00,22182575.00000000,1860450.79064400
INITUSDT,,2026-05-25T18:00:00+00:00,22140603.00000000,1855359.72657891
INITUSDT,,2026-05-25T19:00:00+00:00,22602428.00000000,1872204.76814456
INITUSDT,,2026-05-25T20:00:00+00:00,22727996.00000000,1873267.79479536
INITUSDT,,2026-05-25T21:00:00+00:00,22748952.00000000,1868143.93824000
INITUSDT,,2026-05-25T22:00:00+00:00,22834155.00000000,1873570.73210220
INITUSDT,,2026-05-25T23:00:00+00:00,22772642.00000000,1854376.23806000
INITUSDT,,2026-05-26T00:00:00+00:00,22777551.00000000,1861609.24323000
INITUSDT,,2026-05-26T01:00:00+00:00,22779562.00000000,1838795.63027498
INITUSDT,,2026-05-26T02:00:00+00:00,22907681.00000000,1837684.40795892
INITUSDT,,2026-05-26T03:00:00+00:00,22966172.00000000,1833682.78877644
INITUSDT,,2026-05-26T04:00:00+00:00,23220718.00000000,1851027.92501100
INITUSDT,,2026-05-26T05:00:00+00:00,23303931.00000000,1865246.63724000
INITUSDT,,2026-05-26T06:00:00+00:00,23285098.00000000,1868232.33643008
INITUSDT,,2026-05-26T07:00:00+00:00,23415610.00000000,1874058.51179380
INITUSDT,,2026-05-26T08:00:00+00:00,23462906.00000000,1866719.82892582
INITUSDT,,2026-05-26T09:00:00+00:00,23445059.00000000,1872322.41174000
INITUSDT,,2026-05-26T10:00:00+00:00,23473599.00000000,1874949.02540520
INITUSDT,,2026-05-26T11:00:00+00:00,23483806.00000000,1905945.69496000
INITUSDT,,2026-05-26T12:00:00+00:00,23484326.00000000,1894010.89190000
INITUSDT,,2026-05-26T13:00:00+00:00,23471824.00000000,1890979.80380768
INITUSDT,,2026-05-26T14:00:00+00:00,23492800.00000000,1901977.08800000
INITUSDT,,2026-05-26T15:00:00+00:00,23547153.00000000,1899784.30404000
INITUSDT,,2026-05-26T16:00:00+00:00,23534243.00000000,1884046.29651379
INITUSDT,,2026-05-26T17:00:00+00:00,23557446.00000000,1880355.33972000
INITUSDT,,2026-05-26T18:00:00+00:00,23445223.00000000,1837757.55609068
INITUSDT,,2026-05-26T19:00:00+00:00,23539194.00000000,1829487.34295460
INITUSDT,,2026-05-26T20:00:00+00:00,23664243.00000000,1837055.18409000
INITUSDT,,2026-05-26T21:00:00+00:00,23728683.00000000,1850362.70034000
INITUSDT,,2026-05-26T22:00:00+00:00,23613633.00000000,1838519.91970353
INITUSDT,,2026-05-26T23:00:00+00:00,23584848.00000000,1833750.23381760
INITUSDT,,2026-05-27T00:00:00+00:00,23667478.00000000,1840788.03982858
