symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
INJUSDT,,2026-05-23T06:00:00+00:00,4389007.20000000,21183224.08219641
INJUSDT,,2026-05-23T07:00:00+00:00,4396651.50000000,21246683.88018062
INJUSDT,,2026-05-23T08:00:00+00:00,4364725.00000000,20985003.45539675
INJUSDT,,2026-05-23T09:00:00+00:00,4348183.50000000,21230035.89773431
INJUSDT,,2026-05-23T10:00:00+00:00,4345998.90000000,21430120.57590000
INJUSDT,,2026-05-23T11:00:00+00:00,4401028.80000000,21889728.51606979
INJUSDT,,2026-05-23T12:00:00+00:00,4425996.80000000,21653563.50805248
INJUSDT,,2026-05-23T13:00:00+00:00,4496708.40000000,22335150.62280000
INJUSDT,,2026-05-23T14:00:00+00:00,4492463.40000000,22725902.49642479
INJUSDT,,2026-05-23T15:00:00+00:00,4461381.30000000,22637048.71620000
INJUSDT,,2026-05-23T16:00:00+00:00,4521735.90000000,23901895.96740000
INJUSDT,,2026-05-23T17:00:00+00:00,4462141.60000000,23622577.63040000
INJUSDT,,2026-05-23T18:00:00+00:00,4467293.60000000,23743665.48400000
INJUSDT,,2026-05-23T19:00:00+00:00,4421634.30000000,23447926.69290000
INJUSDT,,2026-05-23T20:00:00+00:00,4413097.90000000,23565076.75966810
INJUSDT,,2026-05-23T21:00:00+00:00,4534458.30000000,24877574.59896120
INJUSDT,,2026-05-23T22:00:00+00:00,4556090.90000000,24548217.76920000
INJUSDT,,2026-05-23T23:00:00+00:00,4465244.50000000,23753758.08563130
INJUSDT,,2026-05-24T00:00:00+00:00,4442755.50000000,23710133.22772666
INJUSDT,,2026-05-24T01:00:00+00:00,4438478.40000000,23453456.21132986
INJUSDT,,2026-05-24T02:00:00+00:00,4445189.00000000,23359468.19500000
INJUSDT,,2026-05-24T03:00:00+00:00,4436914.40000000,23238265.65032839
INJUSDT,,2026-05-24T04:00:00+00:00,4444835.30000000,23099057.34355407
INJUSDT,,2026-05-24T05:00:00+00:00,4449373.30000000,22820835.65570000
INJUSDT,,2026-05-24T06:00:00+00:00,4437502.40000000,22879762.37440000
INJUSDT,,2026-05-24T07:00:00+00:00,4444922.20000000,23318061.86120000
INJUSDT,,2026-05-24T08:00:00+00:00,4426992.10000000,22953510.36535174
INJUSDT,,2026-05-24T09:00:00+00:00,4461973.40000000,23202261.68000000
INJUSDT,,2026-05-24T10:00:00+00:00,4509005.20000000,23446827.04000000
INJUSDT,,2026-05-24T11:00:00+00:00,4518855.70000000,23484493.07290000
INJUSDT,,2026-05-24T12:00:00+00:00,4545924.40000000,23589235.57462474
INJUSDT,,2026-05-24T13:00:00+00:00,4525945.10000000,23512284.79450000
INJUSDT,,2026-05-24T14:00:00+00:00,4427618.70000000,22625131.55700000
INJUSDT,,2026-05-24T15:00:00+00:00,4466153.60000000,22893503.35360000
INJUSDT,,2026-05-24T16:00:00+00:00,4506476.20000000,23199339.47760000
INJUSDT,,2026-05-24T17:00:00+00:00,4521477.90000000,23505051.12241034
INJUSDT,,2026-05-24T18:00:00+00:00,4524461.80000000,23865790.13747227
INJUSDT,,2026-05-24T19:00:00+00:00,4518145.70000000,23789100.54645341
INJUSDT,,2026-05-24T20:00:00+00:00,4419148.10000000,22749774.41880000
INJUSDT,,2026-05-24T21:00:00+00:00,4403055.30000000,22662525.62910000
INJUSDT,,2026-05-24T22:00:00+00:00,4395649.90000000,22400231.89040000
INJUSDT,,2026-05-24T23:00:00+00:00,4448046.30000000,22689484.17630000
INJUSDT,,2026-05-25T00:00:00+00:00,4546054.30000000,23325804.61330000
INJUSDT,,2026-05-25T01:00:00+00:00,4572149.30000000,23395687.96810000
INJUSDT,,2026-05-25T02:00:00+00:00,4508795.60000000,22871631.18431697
INJUSDT,,2026-05-25T03:00:00+00:00,4531794.80000000,23329679.63040000
INJUSDT,,2026-05-25T04:00:00+00:00,4470623.30000000,22706295.74070000
INJUSDT,,2026-05-25T05:00:00+00:00,4494538.30000000,23075298.65522397
INJUSDT,,2026-05-25T06:00:00+00:00,4487960.60000000,23238659.98680000
INJUSDT,,2026-05-25T07:00:00+00:00,4517420.50000000,23484986.62485138
INJUSDT,,2026-05-25T08:00:00+00:00,4470375.00000000,23478255.58498875
INJUSDT,,2026-05-25T09:00:00+00:00,4532542.90000000,23816302.78093110
INJUSDT,,2026-05-25T10:00:00+00:00,4541334.20000000,23684470.84372299
INJUSDT,,2026-05-25T11:00:00+00:00,4613715.40000000,25029169.77663437
INJUSDT,,2026-05-25T12:00:00+00:00,4672172.60000000,25710965.81780000
INJUSDT,,2026-05-25T13:00:00+00:00,4741983.50000000,26218426.77150000
INJUSDT,,2026-05-25T14:00:00+00:00,4803240.90000000,27147917.56680000
INJUSDT,,2026-05-25T15:00:00+00:00,4786152.00000000,26888601.93600000
INJUSDT,,2026-05-25T16:00:00+00:00,4791861.70000000,27126729.08370000
INJUSDT,,2026-05-25T17:00:00+00:00,4873559.80000000,27735428.82180000
INJUSDT,,2026-05-25T18:00:00+00:00,4878336.90000000,27889452.05730000
INJUSDT,,2026-05-25T19:00:00+00:00,4977705.70000000,28114804.95468410
INJUSDT,,2026-05-25T20:00:00+00:00,4880467.90000000,27613852.72845245
INJUSDT,,2026-05-25T21:00:00+00:00,4894425.00000000,27547129.53681300
INJUSDT,,2026-05-25T22:00:00+00:00,4897270.40000000,27821393.14240000
INJUSDT,,2026-05-25T23:00:00+00:00,4920446.00000000,27785758.56200000
INJUSDT,,2026-05-26T00:00:00+00:00,4942688.40000000,28015157.85120000
INJUSDT,,2026-05-26T01:00:00+00:00,4946500.70000000,28056551.97040000
INJUSDT,,2026-05-26T02:00:00+00:00,5001448.50000000,28064528.08912345
INJUSDT,,2026-05-26T03:00:00+00:00,4955735.40000000,27858528.08785293
INJUSDT,,2026-05-26T04:00:00+00:00,4924200.30000000,27294842.26290000
INJUSDT,,2026-05-26T05:00:00+00:00,4933169.90000000,27793479.21660000
INJUSDT,,2026-05-26T06:00:00+00:00,4937235.20000000,27862818.01134541
INJUSDT,,2026-05-26T07:00:00+00:00,4940543.10000000,27543527.78250000
INJUSDT,,2026-05-26T08:00:00+00:00,4768278.50000000,26229681.24899906
INJUSDT,,2026-05-26T09:00:00+00:00,4706623.00000000,25759357.42170961
INJUSDT,,2026-05-26T10:00:00+00:00,4699978.90000000,25970520.42341681
INJUSDT,,2026-05-26T11:00:00+00:00,4848524.90000000,27458206.55340717
INJUSDT,,2026-05-26T12:00:00+00:00,4929433.40000000,28709020.12160000
INJUSDT,,2026-05-26T13:00:00+00:00,5105096.10000000,29961809.01090000
INJUSDT,,2026-05-26T14:00:00+00:00,5135696.00000000,30840750.65895200
INJUSDT,,2026-05-26T15:00:00+00:00,5148391.80000000,30883250.24099728
INJUSDT,,2026-05-26T16:00:00+00:00,4973989.20000000,28834215.39240000
INJUSDT,,2026-05-26T17:00:00+00:00,4951802.10000000,28586753.52330000
INJUSDT,,2026-05-26T18:00:00+00:00,4919516.40000000,28139633.80800000
INJUSDT,,2026-05-26T19:00:00+00:00,4928243.30000000,28031847.89040000
INJUSDT,,2026-05-26T20:00:00+00:00,4829148.20000000,27458536.66520000
INJUSDT,,2026-05-26T21:00:00+00:00,4810237.10000000,27521996.10951783
INJUSDT,,2026-05-26T22:00:00+00:00,4801162.10000000,27187694.02079910
INJUSDT,,2026-05-26T23:00:00+00:00,4806925.30000000,27471578.08950000
INJUSDT,,2026-05-27T00:00:00+00:00,4781627.80000000,27138304.54280304
INJUSDT,,2026-05-27T01:00:00+00:00,4778785.70000000,27253414.84710000
INJUSDT,,2026-05-27T02:00:00+00:00,4773449.70000000,26853583.12162545
INJUSDT,,2026-05-27T03:00:00+00:00,4783170.90000000,27039265.09770000
INJUSDT,,2026-05-27T04:00:00+00:00,4818361.70000000,27323123.56783654
INJUSDT,,2026-05-27T05:00:00+00:00,4796875.90000000,27063973.82780000
INJUSDT,,2026-05-27T06:00:00+00:00,4798634.60000000,27481780.35420000
INJUSDT,,2026-05-27T07:00:00+00:00,4838924.40000000,28198650.14261029
INJUSDT,,2026-05-27T08:00:00+00:00,4784777.80000000,28077076.13040000
INJUSDT,,2026-05-27T09:00:00+00:00,4781159.80000000,27636780.44455346
INJUSDT,,2026-05-27T10:00:00+00:00,4796919.80000000,27006658.47400000
INJUSDT,,2026-05-27T11:00:00+00:00,4795660.30000000,27324014.57759089
INJUSDT,,2026-05-27T12:00:00+00:00,4799783.50000000,27503166.18865379
INJUSDT,,2026-05-27T13:00:00+00:00,4732072.60000000,27096097.08782602
INJUSDT,,2026-05-27T14:00:00+00:00,4787679.90000000,26901973.35810000
INJUSDT,,2026-05-27T15:00:00+00:00,4766374.20000000,26967264.15932913
INJUSDT,,2026-05-27T16:00:00+00:00,4745072.70000000,27682754.13180000
INJUSDT,,2026-05-27T17:00:00+00:00,4675446.00000000,26783166.92202936
INJUSDT,,2026-05-27T18:00:00+00:00,4702098.30000000,26247112.71060000
INJUSDT,,2026-05-27T19:00:00+00:00,4701870.30000000,26523250.36230000
INJUSDT,,2026-05-27T20:00:00+00:00,4686801.40000000,26660833.20684908
INJUSDT,,2026-05-27T21:00:00+00:00,4645819.10000000,25900283.94277432
INJUSDT,,2026-05-27T22:00:00+00:00,4714514.90000000,25710805.95967878
INJUSDT,,2026-05-27T23:00:00+00:00,4748902.80000000,25781793.30120000
