symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
KITEUSDT,,2026-05-22T13:00:00+00:00,161809012.00000000,36294196.65784228
KITEUSDT,,2026-05-22T14:00:00+00:00,162169015.00000000,35886322.94850460
KITEUSDT,,2026-05-22T15:00:00+00:00,161840581.00000000,33764282.52417080
KITEUSDT,,2026-05-22T16:00:00+00:00,161995754.00000000,33777734.66654000
KITEUSDT,,2026-05-22T17:00:00+00:00,161610479.00000000,33394685.15586552
KITEUSDT,,2026-05-22T18:00:00+00:00,161720564.00000000,33612002.02176000
KITEUSDT,,2026-05-22T19:00:00+00:00,161675753.00000000,32204193.24007000
KITEUSDT,,2026-05-22T20:00:00+00:00,162189440.00000000,31905906.63680000
KITEUSDT,,2026-05-22T21:00:00+00:00,162655969.00000000,32113018.31617852
KITEUSDT,,2026-05-22T22:00:00+00:00,162593534.00000000,31741509.70748000
KITEUSDT,,2026-05-22T23:00:00+00:00,164098636.00000000,33246687.23607660
KITEUSDT,,2026-05-23T00:00:00+00:00,164363045.00000000,33583615.59095235
KITEUSDT,,2026-05-23T01:00:00+00:00,163360102.00000000,31208313.88608000
KITEUSDT,,2026-05-23T02:00:00+00:00,163174804.00000000,31228048.05893552
KITEUSDT,,2026-05-23T03:00:00+00:00,163756919.00000000,31828058.42547959
KITEUSDT,,2026-05-23T04:00:00+00:00,164003393.00000000,32046385.99474475
KITEUSDT,,2026-05-23T05:00:00+00:00,164296472.00000000,31484132.92936000
KITEUSDT,,2026-05-23T06:00:00+00:00,164175346.00000000,30960186.74868000
KITEUSDT,,2026-05-23T07:00:00+00:00,164973276.00000000,30682241.28763560
KITEUSDT,,2026-05-23T08:00:00+00:00,165881909.00000000,31182481.25382000
KITEUSDT,,2026-05-23T09:00:00+00:00,166595801.00000000,31255614.64708146
KITEUSDT,,2026-05-23T10:00:00+00:00,168560370.00000000,34361616.32898390
KITEUSDT,,2026-05-23T11:00:00+00:00,169408117.00000000,36028236.00253625
KITEUSDT,,2026-05-23T12:00:00+00:00,169625579.00000000,35855454.88902000
KITEUSDT,,2026-05-23T13:00:00+00:00,169661116.00000000,35326489.76823220
KITEUSDT,,2026-05-23T14:00:00+00:00,169637395.00000000,35064049.54650000
KITEUSDT,,2026-05-23T15:00:00+00:00,170059171.00000000,34637651.94928000
KITEUSDT,,2026-05-23T16:00:00+00:00,170103217.00000000,34192456.15433085
KITEUSDT,,2026-05-23T17:00:00+00:00,169808768.00000000,34703301.69750528
KITEUSDT,,2026-05-23T18:00:00+00:00,169732764.00000000,34508319.02633844
KITEUSDT,,2026-05-23T19:00:00+00:00,169737595.00000000,34188546.38490000
KITEUSDT,,2026-05-23T20:00:00+00:00,169740946.00000000,33861728.25433598
KITEUSDT,,2026-05-23T21:00:00+00:00,169932198.00000000,34106486.50195512
KITEUSDT,,2026-05-23T22:00:00+00:00,169579369.00000000,34216398.96615442
KITEUSDT,,2026-05-23T23:00:00+00:00,169572012.00000000,34009362.72672000
KITEUSDT,,2026-05-24T00:00:00+00:00,169635713.00000000,34451050.62510059
KITEUSDT,,2026-05-24T01:00:00+00:00,169875339.00000000,35241445.98341025
KITEUSDT,,2026-05-24T02:00:00+00:00,169471801.00000000,34569468.06646360
KITEUSDT,,2026-05-24T03:00:00+00:00,169237802.00000000,34489311.83756202
KITEUSDT,,2026-05-24T04:00:00+00:00,168813806.00000000,34547745.39790000
KITEUSDT,,2026-05-24T05:00:00+00:00,168712476.00000000,34456911.55387152
KITEUSDT,,2026-05-24T06:00:00+00:00,168653605.00000000,34992249.96540000
KITEUSDT,,2026-05-24T07:00:00+00:00,168449565.00000000,34294901.29719315
KITEUSDT,,2026-05-24T08:00:00+00:00,168405636.00000000,34406955.49116000
KITEUSDT,,2026-05-24T09:00:00+00:00,168272538.00000000,34252427.04382464
KITEUSDT,,2026-05-24T10:00:00+00:00,167459486.00000000,33798398.29722580
KITEUSDT,,2026-05-24T11:00:00+00:00,167230806.00000000,33939950.29010844
KITEUSDT,,2026-05-24T12:00:00+00:00,167281726.00000000,34145545.91112000
KITEUSDT,,2026-05-24T13:00:00+00:00,167306975.00000000,34170776.57400000
KITEUSDT,,2026-05-24T14:00:00+00:00,167230986.00000000,34391589.08236506
KITEUSDT,,2026-05-24T15:00:00+00:00,167093730.00000000,34117197.79140000
KITEUSDT,,2026-05-24T16:00:00+00:00,166953415.00000000,33848135.35710000
KITEUSDT,,2026-05-24T17:00:00+00:00,167001569.00000000,34044248.46984434
KITEUSDT,,2026-05-24T18:00:00+00:00,166962317.00000000,33793172.96080000
KITEUSDT,,2026-05-24T19:00:00+00:00,166912810.00000000,33739324.77835020
KITEUSDT,,2026-05-24T20:00:00+00:00,166926484.00000000,33697037.01666452
KITEUSDT,,2026-05-24T21:00:00+00:00,166840978.00000000,33648488.44304000
KITEUSDT,,2026-05-24T22:00:00+00:00,166811087.00000000,33391059.03694230
KITEUSDT,,2026-05-24T23:00:00+00:00,166899398.00000000,33476681.25084000
KITEUSDT,,2026-05-25T00:00:00+00:00,166818166.00000000,33601015.45021800
KITEUSDT,,2026-05-25T01:00:00+00:00,166773250.00000000,33438982.22932750
KITEUSDT,,2026-05-25T02:00:00+00:00,166522119.00000000,33605917.09211307
KITEUSDT,,2026-05-25T03:00:00+00:00,166489863.00000000,33713434.73392746
KITEUSDT,,2026-05-25T04:00:00+00:00,166426497.00000000,33712246.60687386
KITEUSDT,,2026-05-25T05:00:00+00:00,166407206.00000000,33669745.75891276
KITEUSDT,,2026-05-25T06:00:00+00:00,166403390.00000000,33698666.67534100
KITEUSDT,,2026-05-25T07:00:00+00:00,166633192.00000000,34470102.02481472
KITEUSDT,,2026-05-25T08:00:00+00:00,166572795.00000000,34125608.60176680
KITEUSDT,,2026-05-25T09:00:00+00:00,166573172.00000000,34103051.87478352
KITEUSDT,,2026-05-25T10:00:00+00:00,166409880.00000000,33878728.48607520
