symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
NEARUSDT,,2026-05-23T06:00:00+00:00,59607371.00000000,123983331.68000000
NEARUSDT,,2026-05-23T07:00:00+00:00,59264976.00000000,122020583.22723071
NEARUSDT,,2026-05-23T08:00:00+00:00,59991213.00000000,121569209.78147751
NEARUSDT,,2026-05-23T09:00:00+00:00,60026359.00000000,124132540.94716121
NEARUSDT,,2026-05-23T10:00:00+00:00,59851590.00000000,123952642.89000000
NEARUSDT,,2026-05-23T11:00:00+00:00,59680082.00000000,123723471.47675285
NEARUSDT,,2026-05-23T12:00:00+00:00,59713294.00000000,124154234.58928442
NEARUSDT,,2026-05-23T13:00:00+00:00,59809628.00000000,125480599.54400000
NEARUSDT,,2026-05-23T14:00:00+00:00,59391844.00000000,124862108.26339984
NEARUSDT,,2026-05-23T15:00:00+00:00,58556031.00000000,127948646.62852880
NEARUSDT,,2026-05-23T16:00:00+00:00,59477274.00000000,134359161.96600000
NEARUSDT,,2026-05-23T17:00:00+00:00,60630624.00000000,145809052.49020030
NEARUSDT,,2026-05-23T18:00:00+00:00,60107599.00000000,141252532.46788940
NEARUSDT,,2026-05-23T19:00:00+00:00,59264095.00000000,141641187.05000000
NEARUSDT,,2026-05-23T20:00:00+00:00,60179246.00000000,143843226.10621440
NEARUSDT,,2026-05-23T21:00:00+00:00,60710922.00000000,145803118.35947797
NEARUSDT,,2026-05-23T22:00:00+00:00,60669003.00000000,146388565.55800623
NEARUSDT,,2026-05-23T23:00:00+00:00,60730653.00000000,146826552.12605828
NEARUSDT,,2026-05-24T00:00:00+00:00,61095532.00000000,149745148.93200000
NEARUSDT,,2026-05-24T01:00:00+00:00,60675711.00000000,145600291.51455966
NEARUSDT,,2026-05-24T02:00:00+00:00,60997785.00000000,145729068.24036795
NEARUSDT,,2026-05-24T03:00:00+00:00,61750989.00000000,148592617.62012395
NEARUSDT,,2026-05-24T04:00:00+00:00,62054328.00000000,148289105.98412567
NEARUSDT,,2026-05-24T05:00:00+00:00,61979028.00000000,148315814.00400000
NEARUSDT,,2026-05-24T06:00:00+00:00,62249571.00000000,146278943.46702054
NEARUSDT,,2026-05-24T07:00:00+00:00,62450785.00000000,149569630.07500000
NEARUSDT,,2026-05-24T08:00:00+00:00,61645273.00000000,147270557.19700000
NEARUSDT,,2026-05-24T09:00:00+00:00,61713739.00000000,146889251.25223160
NEARUSDT,,2026-05-24T10:00:00+00:00,61579628.00000000,145376370.46812528
NEARUSDT,,2026-05-24T11:00:00+00:00,61685035.00000000,145351732.08176340
NEARUSDT,,2026-05-24T12:00:00+00:00,62275045.00000000,149308622.70753660
NEARUSDT,,2026-05-24T13:00:00+00:00,61966259.00000000,147727561.45600000
NEARUSDT,,2026-05-24T14:00:00+00:00,62538074.00000000,150216453.74800000
NEARUSDT,,2026-05-24T15:00:00+00:00,66507784.00000000,165870413.29600000
NEARUSDT,,2026-05-24T16:00:00+00:00,65457371.00000000,159650527.86900000
NEARUSDT,,2026-05-24T17:00:00+00:00,65263331.00000000,158328841.00600000
NEARUSDT,,2026-05-24T18:00:00+00:00,64964230.00000000,158136424.99271720
NEARUSDT,,2026-05-24T19:00:00+00:00,64719910.00000000,157990064.03301310
NEARUSDT,,2026-05-24T20:00:00+00:00,64590535.00000000,156567456.84000000
NEARUSDT,,2026-05-24T21:00:00+00:00,64767922.00000000,158551873.05600000
NEARUSDT,,2026-05-24T22:00:00+00:00,64700110.00000000,154780062.27358120
NEARUSDT,,2026-05-24T23:00:00+00:00,64701308.00000000,155680241.53681076
NEARUSDT,,2026-05-25T00:00:00+00:00,64300544.00000000,153909350.66174975
NEARUSDT,,2026-05-25T01:00:00+00:00,64408741.00000000,153292803.58000000
NEARUSDT,,2026-05-25T02:00:00+00:00,63946012.00000000,151040480.34400000
NEARUSDT,,2026-05-25T03:00:00+00:00,63424276.00000000,149871564.18800000
NEARUSDT,,2026-05-25T04:00:00+00:00,63485604.00000000,149000712.58800000
NEARUSDT,,2026-05-25T05:00:00+00:00,63840570.00000000,152265189.09047850
NEARUSDT,,2026-05-25T06:00:00+00:00,63151239.00000000,149556465.49417865
NEARUSDT,,2026-05-25T07:00:00+00:00,62643171.00000000,148660106.50096050
NEARUSDT,,2026-05-25T08:00:00+00:00,62862888.00000000,149725541.09234040
NEARUSDT,,2026-05-25T09:00:00+00:00,63707450.00000000,153789784.30000000
NEARUSDT,,2026-05-25T10:00:00+00:00,63532027.00000000,153565408.57357207
NEARUSDT,,2026-05-25T11:00:00+00:00,64271560.00000000,157979494.48000000
NEARUSDT,,2026-05-25T12:00:00+00:00,64117473.00000000,156458902.99845856
NEARUSDT,,2026-05-25T13:00:00+00:00,64652352.00000000,160358102.11887553
NEARUSDT,,2026-05-25T14:00:00+00:00,65241227.00000000,170753318.36683473
NEARUSDT,,2026-05-25T15:00:00+00:00,66353162.00000000,177450640.56098932
NEARUSDT,,2026-05-25T16:00:00+00:00,66245078.00000000,179572758.76922080
NEARUSDT,,2026-05-25T17:00:00+00:00,67186962.00000000,186792707.33440400
NEARUSDT,,2026-05-25T18:00:00+00:00,67350940.00000000,184272171.84000000
NEARUSDT,,2026-05-25T19:00:00+00:00,67212402.00000000,182750521.03800000
NEARUSDT,,2026-05-25T20:00:00+00:00,66947032.00000000,184439073.16000000
NEARUSDT,,2026-05-25T21:00:00+00:00,66665452.00000000,183406586.93776637
NEARUSDT,,2026-05-25T22:00:00+00:00,67253566.00000000,187473035.69227110
NEARUSDT,,2026-05-25T23:00:00+00:00,67377100.00000000,186237908.57950600
NEARUSDT,,2026-05-26T00:00:00+00:00,66511947.00000000,184228763.55919430
NEARUSDT,,2026-05-26T01:00:00+00:00,66812582.00000000,181625851.09690288
NEARUSDT,,2026-05-26T02:00:00+00:00,65777826.00000000,176581427.03540322
NEARUSDT,,2026-05-26T03:00:00+00:00,65922548.00000000,179860625.00751248
NEARUSDT,,2026-05-26T04:00:00+00:00,66037367.00000000,179753712.97400000
NEARUSDT,,2026-05-26T05:00:00+00:00,65966222.00000000,183567682.37929940
NEARUSDT,,2026-05-26T06:00:00+00:00,65675025.00000000,180290989.96871626
NEARUSDT,,2026-05-26T07:00:00+00:00,65538045.00000000,179246553.07500000
NEARUSDT,,2026-05-26T08:00:00+00:00,65449566.00000000,177893630.58515957
NEARUSDT,,2026-05-26T09:00:00+00:00,64885537.00000000,177526829.23200000
NEARUSDT,,2026-05-26T10:00:00+00:00,64701397.00000000,175496150.74656022
NEARUSDT,,2026-05-26T11:00:00+00:00,67013455.00000000,193993067.22950435
NEARUSDT,,2026-05-26T12:00:00+00:00,66829811.00000000,190598620.97200000
NEARUSDT,,2026-05-26T13:00:00+00:00,65074734.00000000,180804145.27478850
NEARUSDT,,2026-05-26T14:00:00+00:00,64426921.00000000,181683917.22000000
NEARUSDT,,2026-05-26T15:00:00+00:00,63801799.00000000,180871079.41503805
NEARUSDT,,2026-05-26T16:00:00+00:00,63272339.00000000,174835614.65748990
NEARUSDT,,2026-05-26T17:00:00+00:00,62212746.00000000,170314392.35317993
NEARUSDT,,2026-05-26T18:00:00+00:00,61781594.00000000,166424313.40642995
NEARUSDT,,2026-05-26T19:00:00+00:00,60118556.00000000,157718470.01432884
NEARUSDT,,2026-05-26T20:00:00+00:00,60272899.00000000,159798659.08777276
NEARUSDT,,2026-05-26T21:00:00+00:00,59808804.00000000,158693652.41385347
NEARUSDT,,2026-05-26T22:00:00+00:00,59982483.00000000,156498053.65026063
NEARUSDT,,2026-05-26T23:00:00+00:00,59610424.00000000,157196796.43842208
