symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
NIGHTUSDT,,2026-05-23T04:00:00+00:00,268867749.00000000,8661531.51519516
NIGHTUSDT,,2026-05-23T05:00:00+00:00,268812849.00000000,8669886.41237250
NIGHTUSDT,,2026-05-23T06:00:00+00:00,268105927.00000000,8715716.16576096
NIGHTUSDT,,2026-05-23T07:00:00+00:00,267795235.00000000,8667123.15401390
NIGHTUSDT,,2026-05-23T08:00:00+00:00,266350552.00000000,8504573.12536000
NIGHTUSDT,,2026-05-23T09:00:00+00:00,267224688.00000000,8613779.38242336
NIGHTUSDT,,2026-05-23T10:00:00+00:00,266718251.00000000,8587282.14665608
NIGHTUSDT,,2026-05-23T11:00:00+00:00,264555152.00000000,8457828.20944000
NIGHTUSDT,,2026-05-23T12:00:00+00:00,264118763.00000000,8443876.85311000
NIGHTUSDT,,2026-05-23T13:00:00+00:00,265158659.00000000,8628262.76386000
NIGHTUSDT,,2026-05-23T14:00:00+00:00,265339706.00000000,8798664.65096000
NIGHTUSDT,,2026-05-23T15:00:00+00:00,265695978.00000000,8903472.22278000
NIGHTUSDT,,2026-05-23T16:00:00+00:00,264151087.00000000,8780382.13188000
NIGHTUSDT,,2026-05-23T17:00:00+00:00,263849387.00000000,8747462.05106388
NIGHTUSDT,,2026-05-23T18:00:00+00:00,264532337.00000000,8777182.94166000
NIGHTUSDT,,2026-05-23T19:00:00+00:00,264058504.00000000,8820874.32612000
NIGHTUSDT,,2026-05-23T20:00:00+00:00,263886689.00000000,8807658.93614563
NIGHTUSDT,,2026-05-23T21:00:00+00:00,262897042.00000000,8862259.28582000
NIGHTUSDT,,2026-05-23T22:00:00+00:00,262011148.00000000,8869077.35980000
NIGHTUSDT,,2026-05-23T23:00:00+00:00,262283097.00000000,8831071.87599000
NIGHTUSDT,,2026-05-24T00:00:00+00:00,262473796.00000000,8832432.21653312
NIGHTUSDT,,2026-05-24T01:00:00+00:00,261669770.00000000,8734536.92260000
NIGHTUSDT,,2026-05-24T02:00:00+00:00,261371066.00000000,8721952.47242000
NIGHTUSDT,,2026-05-24T03:00:00+00:00,261308826.00000000,8665698.36472542
NIGHTUSDT,,2026-05-24T04:00:00+00:00,260787535.00000000,8653616.28251705
NIGHTUSDT,,2026-05-24T05:00:00+00:00,260533279.00000000,8610624.87095000
NIGHTUSDT,,2026-05-24T06:00:00+00:00,260790726.00000000,8718233.97018000
NIGHTUSDT,,2026-05-24T07:00:00+00:00,261996718.00000000,8758943.27781700
NIGHTUSDT,,2026-05-24T08:00:00+00:00,263167348.00000000,8792005.29227016
NIGHTUSDT,,2026-05-24T09:00:00+00:00,263683584.00000000,8830763.22816000
NIGHTUSDT,,2026-05-24T10:00:00+00:00,263645304.00000000,8855845.76136000
NIGHTUSDT,,2026-05-24T11:00:00+00:00,264565623.00000000,8926444.12002000
