symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
PARTIUSDT,,2026-05-23T06:00:00+00:00,128145243.00000000,6663443.71254345
PARTIUSDT,,2026-05-23T07:00:00+00:00,128284972.00000000,6596413.26024000
PARTIUSDT,,2026-05-23T08:00:00+00:00,128289031.00000000,6464866.57340238
PARTIUSDT,,2026-05-23T09:00:00+00:00,128880840.00000000,6460612.20959880
PARTIUSDT,,2026-05-23T10:00:00+00:00,128992910.00000000,6473493.70920080
PARTIUSDT,,2026-05-23T11:00:00+00:00,129448374.00000000,6573723.70300866
PARTIUSDT,,2026-05-23T12:00:00+00:00,129092812.00000000,6475197.33938288
PARTIUSDT,,2026-05-23T13:00:00+00:00,128757332.00000000,6488139.90027940
PARTIUSDT,,2026-05-23T14:00:00+00:00,130075149.00000000,6763907.74800000
PARTIUSDT,,2026-05-23T15:00:00+00:00,130116623.00000000,6875137.25756221
PARTIUSDT,,2026-05-23T16:00:00+00:00,130255985.00000000,6656702.15454845
PARTIUSDT,,2026-05-23T17:00:00+00:00,130231408.00000000,6647011.06432000
PARTIUSDT,,2026-05-23T18:00:00+00:00,130156870.00000000,6658428.49074650
PARTIUSDT,,2026-05-23T19:00:00+00:00,130355179.00000000,6671578.06122000
PARTIUSDT,,2026-05-23T20:00:00+00:00,130696261.00000000,6627722.40801968
PARTIUSDT,,2026-05-23T21:00:00+00:00,131059776.00000000,6711571.12896000
PARTIUSDT,,2026-05-23T22:00:00+00:00,131054311.00000000,6645118.01305677
PARTIUSDT,,2026-05-23T23:00:00+00:00,131362864.00000000,6580957.64738320
PARTIUSDT,,2026-05-24T00:00:00+00:00,131585103.00000000,6592296.54955833
PARTIUSDT,,2026-05-24T01:00:00+00:00,132116938.00000000,6567532.98798000
PARTIUSDT,,2026-05-24T02:00:00+00:00,132049467.00000000,6603199.62206850
PARTIUSDT,,2026-05-24T03:00:00+00:00,131950842.00000000,6621547.91668506
PARTIUSDT,,2026-05-24T04:00:00+00:00,132652771.00000000,6670171.32502674
PARTIUSDT,,2026-05-24T05:00:00+00:00,133000921.00000000,6631425.92106000
PARTIUSDT,,2026-05-24T06:00:00+00:00,133295692.00000000,6678995.25372412
PARTIUSDT,,2026-05-24T07:00:00+00:00,133469338.00000000,6678805.67352000
PARTIUSDT,,2026-05-24T08:00:00+00:00,133592453.00000000,6639315.13508084
PARTIUSDT,,2026-05-24T09:00:00+00:00,134158692.00000000,6653824.37475564
PARTIUSDT,,2026-05-24T10:00:00+00:00,134272145.00000000,6684013.66924200
PARTIUSDT,,2026-05-24T11:00:00+00:00,134476991.00000000,6695609.38189000
PARTIUSDT,,2026-05-24T12:00:00+00:00,134398100.00000000,6668822.97015200
