symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
PENDLEUSDT,,2026-05-23T05:00:00+00:00,10405465.00000000,19033857.84120030
PENDLEUSDT,,2026-05-23T06:00:00+00:00,10382812.00000000,18885668.13998524
PENDLEUSDT,,2026-05-23T07:00:00+00:00,10398791.00000000,18861327.11580000
PENDLEUSDT,,2026-05-23T08:00:00+00:00,10202528.00000000,17781986.05120000
PENDLEUSDT,,2026-05-23T09:00:00+00:00,10258184.00000000,17860524.16240000
PENDLEUSDT,,2026-05-23T10:00:00+00:00,10322346.00000000,17911334.77920000
PENDLEUSDT,,2026-05-23T11:00:00+00:00,10339606.00000000,17988768.66156682
PENDLEUSDT,,2026-05-23T12:00:00+00:00,10327997.00000000,17928369.99230000
PENDLEUSDT,,2026-05-23T13:00:00+00:00,10331583.00000000,18025512.86010000
PENDLEUSDT,,2026-05-23T14:00:00+00:00,10310819.00000000,18222858.64494623
PENDLEUSDT,,2026-05-23T15:00:00+00:00,10303403.00000000,18568464.31107833
PENDLEUSDT,,2026-05-23T16:00:00+00:00,10283301.00000000,18510970.13010000
PENDLEUSDT,,2026-05-23T17:00:00+00:00,10230943.00000000,18579510.14384450
PENDLEUSDT,,2026-05-23T18:00:00+00:00,10233497.00000000,18464298.63710000
PENDLEUSDT,,2026-05-23T19:00:00+00:00,10162913.00000000,18541083.10719884
PENDLEUSDT,,2026-05-23T20:00:00+00:00,10140577.00000000,18490328.10180000
PENDLEUSDT,,2026-05-23T21:00:00+00:00,10124310.00000000,19150580.56820370
PENDLEUSDT,,2026-05-23T22:00:00+00:00,10079517.00000000,18889315.12681143
PENDLEUSDT,,2026-05-23T23:00:00+00:00,10045656.00000000,18737288.36564112
PENDLEUSDT,,2026-05-24T00:00:00+00:00,10070039.00000000,19039422.73730000
PENDLEUSDT,,2026-05-24T01:00:00+00:00,10068870.00000000,18970940.71699050
PENDLEUSDT,,2026-05-24T02:00:00+00:00,10073100.00000000,18827823.20328600
PENDLEUSDT,,2026-05-24T03:00:00+00:00,10052059.00000000,18776088.51636497
PENDLEUSDT,,2026-05-24T04:00:00+00:00,10043600.00000000,18592512.15105200
PENDLEUSDT,,2026-05-24T05:00:00+00:00,10073279.00000000,18646310.51084698
PENDLEUSDT,,2026-05-24T06:00:00+00:00,10066381.00000000,18605101.70971816
PENDLEUSDT,,2026-05-24T07:00:00+00:00,10140454.00000000,19156771.34148544
PENDLEUSDT,,2026-05-24T08:00:00+00:00,10123975.00000000,18899436.53000000
PENDLEUSDT,,2026-05-24T09:00:00+00:00,10151750.00000000,19084274.82500000
PENDLEUSDT,,2026-05-24T10:00:00+00:00,10125402.00000000,18840415.28956776
PENDLEUSDT,,2026-05-24T11:00:00+00:00,10117964.00000000,18699672.29858092
PENDLEUSDT,,2026-05-24T12:00:00+00:00,10177447.00000000,18680272.13942379
PENDLEUSDT,,2026-05-24T13:00:00+00:00,10200559.00000000,18713945.54140000
PENDLEUSDT,,2026-05-24T14:00:00+00:00,10212630.00000000,18620688.27900000
PENDLEUSDT,,2026-05-24T15:00:00+00:00,10137788.00000000,18343313.60720000
PENDLEUSDT,,2026-05-24T16:00:00+00:00,10131207.00000000,18392193.18780000
PENDLEUSDT,,2026-05-24T17:00:00+00:00,10102036.00000000,18244277.01600000
PENDLEUSDT,,2026-05-24T18:00:00+00:00,10098832.00000000,18301660.70493808
PENDLEUSDT,,2026-05-24T19:00:00+00:00,10098121.00000000,18254321.12441443
PENDLEUSDT,,2026-05-24T20:00:00+00:00,10145194.00000000,18412512.59060000
PENDLEUSDT,,2026-05-24T21:00:00+00:00,10125795.00000000,18245670.01050000
PENDLEUSDT,,2026-05-24T22:00:00+00:00,10075517.00000000,17837967.33575900
PENDLEUSDT,,2026-05-24T23:00:00+00:00,10174203.00000000,18271851.16770000
PENDLEUSDT,,2026-05-25T00:00:00+00:00,10234472.00000000,18626739.04000000
PENDLEUSDT,,2026-05-25T01:00:00+00:00,10216287.00000000,18712151.26920000
PENDLEUSDT,,2026-05-25T02:00:00+00:00,10205335.00000000,18601264.10450000
PENDLEUSDT,,2026-05-25T03:00:00+00:00,10203152.00000000,18660544.69280000
PENDLEUSDT,,2026-05-25T04:00:00+00:00,10240247.00000000,18777540.92390000
PENDLEUSDT,,2026-05-25T05:00:00+00:00,10235241.00000000,18880949.07270000
PENDLEUSDT,,2026-05-25T06:00:00+00:00,10211452.00000000,18886697.34781532
PENDLEUSDT,,2026-05-25T07:00:00+00:00,10234523.00000000,18959453.85750000
PENDLEUSDT,,2026-05-25T08:00:00+00:00,10260285.00000000,19116645.76398780
PENDLEUSDT,,2026-05-25T09:00:00+00:00,10239602.00000000,19246355.91920000
PENDLEUSDT,,2026-05-25T10:00:00+00:00,10192956.00000000,19102913.41602840
PENDLEUSDT,,2026-05-25T11:00:00+00:00,10194276.00000000,19169316.59040000
PENDLEUSDT,,2026-05-25T12:00:00+00:00,10167641.00000000,19078561.57240000
PENDLEUSDT,,2026-05-25T13:00:00+00:00,10313157.00000000,19668007.92295539
PENDLEUSDT,,2026-05-25T14:00:00+00:00,10361757.00000000,20130226.42389549
PENDLEUSDT,,2026-05-25T15:00:00+00:00,10469239.00000000,20356388.31160000
PENDLEUSDT,,2026-05-25T16:00:00+00:00,10452286.00000000,20509475.58920000
PENDLEUSDT,,2026-05-25T17:00:00+00:00,10506814.00000000,20993202.01810702
PENDLEUSDT,,2026-05-25T18:00:00+00:00,10467931.00000000,20650896.86412492
PENDLEUSDT,,2026-05-25T19:00:00+00:00,10498817.00000000,20396051.78590000
PENDLEUSDT,,2026-05-25T20:00:00+00:00,10505474.00000000,20373265.72820000
PENDLEUSDT,,2026-05-25T21:00:00+00:00,10500718.00000000,20171879.27800000
PENDLEUSDT,,2026-05-25T22:00:00+00:00,10548375.00000000,20411687.47336500
PENDLEUSDT,,2026-05-25T23:00:00+00:00,10506169.00000000,20060293.23447039
PENDLEUSDT,,2026-05-26T00:00:00+00:00,10528638.00000000,20211826.36860000
PENDLEUSDT,,2026-05-26T01:00:00+00:00,10335413.00000000,19532399.79198057
