symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
PORTALUSDT,,2026-05-22T21:00:00+00:00,193517440.20000000,1595814.47816767
PORTALUSDT,,2026-05-22T22:00:00+00:00,193168863.70000000,1604226.84756712
PORTALUSDT,,2026-05-22T23:00:00+00:00,191945505.70000000,1582538.86920996
PORTALUSDT,,2026-05-23T00:00:00+00:00,190732836.20000000,1553578.07802822
PORTALUSDT,,2026-05-23T01:00:00+00:00,190314533.00000000,1571054.08249632
PORTALUSDT,,2026-05-23T02:00:00+00:00,190329774.70000000,1582081.99283430
PORTALUSDT,,2026-05-23T03:00:00+00:00,190923075.60000000,1593237.79203595
PORTALUSDT,,2026-05-23T04:00:00+00:00,190983410.10000000,1603294.26878489
PORTALUSDT,,2026-05-23T05:00:00+00:00,189839821.40000000,1583264.11047600
PORTALUSDT,,2026-05-23T06:00:00+00:00,190015903.00000000,1579987.93392209
PORTALUSDT,,2026-05-23T07:00:00+00:00,189828025.30000000,1571316.66566277
PORTALUSDT,,2026-05-23T08:00:00+00:00,189209668.60000000,1523137.83223000
PORTALUSDT,,2026-05-23T09:00:00+00:00,188083949.90000000,1536416.40826412
PORTALUSDT,,2026-05-23T10:00:00+00:00,187674205.20000000,1542681.96674400
PORTALUSDT,,2026-05-23T11:00:00+00:00,187810969.80000000,1552428.57337952
PORTALUSDT,,2026-05-23T12:00:00+00:00,187075322.80000000,1529346.37614968
PORTALUSDT,,2026-05-23T13:00:00+00:00,186816210.60000000,1552442.71008600
PORTALUSDT,,2026-05-23T14:00:00+00:00,186681548.00000000,1568125.00320000
PORTALUSDT,,2026-05-23T15:00:00+00:00,186598566.90000000,1565561.97629100
PORTALUSDT,,2026-05-23T16:00:00+00:00,186239829.60000000,1561561.37445053
PORTALUSDT,,2026-05-23T17:00:00+00:00,186917494.20000000,1588798.70070000
PORTALUSDT,,2026-05-23T18:00:00+00:00,187548680.10000000,1589488.19225511
PORTALUSDT,,2026-05-23T19:00:00+00:00,187543979.60000000,1591601.36007438
PORTALUSDT,,2026-05-23T20:00:00+00:00,187203355.10000000,1586593.36327772
PORTALUSDT,,2026-05-23T21:00:00+00:00,187021083.10000000,1608132.57661948
PORTALUSDT,,2026-05-23T22:00:00+00:00,186269686.70000000,1587017.73068400
PORTALUSDT,,2026-05-23T23:00:00+00:00,185452108.40000000,1573555.57621075
PORTALUSDT,,2026-05-24T00:00:00+00:00,185411887.20000000,1570438.68458400
PORTALUSDT,,2026-05-24T01:00:00+00:00,185322894.40000000,1575244.60240000
PORTALUSDT,,2026-05-24T02:00:00+00:00,185784158.70000000,1579165.34895000
PORTALUSDT,,2026-05-24T03:00:00+00:00,185929194.60000000,1575541.68353705
PORTALUSDT,,2026-05-24T04:00:00+00:00,185643188.10000000,1560505.50057731
PORTALUSDT,,2026-05-24T05:00:00+00:00,186541880.00000000,1577780.54813400
PORTALUSDT,,2026-05-24T06:00:00+00:00,186532521.70000000,1569706.61128462
PORTALUSDT,,2026-05-24T07:00:00+00:00,186439366.90000000,1576337.38956482
PORTALUSDT,,2026-05-24T08:00:00+00:00,186560020.90000000,1571768.17608250
PORTALUSDT,,2026-05-24T09:00:00+00:00,186618608.60000000,1568536.87002734
PORTALUSDT,,2026-05-24T10:00:00+00:00,186874792.40000000,1572142.12225064
PORTALUSDT,,2026-05-24T11:00:00+00:00,187025276.40000000,1573827.05216982
PORTALUSDT,,2026-05-24T12:00:00+00:00,186782557.60000000,1573622.50169866
PORTALUSDT,,2026-05-24T13:00:00+00:00,187099323.10000000,1570680.10749219
PORTALUSDT,,2026-05-24T14:00:00+00:00,186973133.00000000,1555616.46656000
PORTALUSDT,,2026-05-24T15:00:00+00:00,188096952.80000000,1559323.73871200
