symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
STGUSDT,,2026-05-23T06:00:00+00:00,19988521.00000000,3405044.55235000
STGUSDT,,2026-05-23T07:00:00+00:00,19953388.00000000,3383429.55837796
STGUSDT,,2026-05-23T08:00:00+00:00,19951128.00000000,3285950.78160000
STGUSDT,,2026-05-23T09:00:00+00:00,19902862.00000000,3301884.80580000
STGUSDT,,2026-05-23T10:00:00+00:00,19881791.00000000,3320259.09700000
STGUSDT,,2026-05-23T11:00:00+00:00,19823273.00000000,3270840.04500000
STGUSDT,,2026-05-23T12:00:00+00:00,19727191.00000000,3266288.41999581
STGUSDT,,2026-05-23T13:00:00+00:00,19648516.00000000,3307676.57151196
STGUSDT,,2026-05-23T14:00:00+00:00,19582592.00000000,3303583.27040000
STGUSDT,,2026-05-23T15:00:00+00:00,19521935.00000000,3306153.11469235
STGUSDT,,2026-05-23T16:00:00+00:00,19515152.00000000,3308794.02160000
STGUSDT,,2026-05-23T17:00:00+00:00,19445962.00000000,3280533.78940000
STGUSDT,,2026-05-23T18:00:00+00:00,19398194.00000000,3275385.05690000
STGUSDT,,2026-05-23T19:00:00+00:00,19369666.00000000,3292843.22000000
STGUSDT,,2026-05-23T20:00:00+00:00,19348700.00000000,3302823.09000000
STGUSDT,,2026-05-23T21:00:00+00:00,19346592.00000000,3373479.56351808
STGUSDT,,2026-05-23T22:00:00+00:00,19312345.00000000,3334270.18429960
STGUSDT,,2026-05-23T23:00:00+00:00,19267084.00000000,3327425.40680000
STGUSDT,,2026-05-24T00:00:00+00:00,19225944.00000000,3291481.61280000
STGUSDT,,2026-05-24T01:00:00+00:00,19175003.00000000,3299545.54422608
STGUSDT,,2026-05-24T02:00:00+00:00,19163740.00000000,3277159.17395420
STGUSDT,,2026-05-24T03:00:00+00:00,19117618.00000000,3251906.82180000
STGUSDT,,2026-05-24T04:00:00+00:00,19091229.00000000,3267617.71865574
STGUSDT,,2026-05-24T05:00:00+00:00,19135666.00000000,3313340.56790000
STGUSDT,,2026-05-24T06:00:00+00:00,19079325.00000000,3281509.58155200
STGUSDT,,2026-05-24T07:00:00+00:00,19047111.00000000,3281817.22530000
STGUSDT,,2026-05-24T08:00:00+00:00,19021090.00000000,3265762.70732030
STGUSDT,,2026-05-24T09:00:00+00:00,19011909.00000000,3267080.01864783
STGUSDT,,2026-05-24T10:00:00+00:00,18982635.00000000,3248940.24329280
STGUSDT,,2026-05-24T11:00:00+00:00,18986012.00000000,3236255.54923676
STGUSDT,,2026-05-24T12:00:00+00:00,18984243.00000000,3233965.79505000
STGUSDT,,2026-05-24T13:00:00+00:00,18982606.00000000,3243031.30972956
STGUSDT,,2026-05-24T14:00:00+00:00,18911113.00000000,3190304.76310000
STGUSDT,,2026-05-24T15:00:00+00:00,18843413.00000000,3158934.06332277
STGUSDT,,2026-05-24T16:00:00+00:00,18802353.00000000,3138133.02224124
STGUSDT,,2026-05-24T17:00:00+00:00,18805576.00000000,3122671.91258432
STGUSDT,,2026-05-24T18:00:00+00:00,18812153.00000000,3120936.18270000
STGUSDT,,2026-05-24T19:00:00+00:00,18776711.00000000,3118999.46421000
STGUSDT,,2026-05-24T20:00:00+00:00,18785013.00000000,3125826.16320000
STGUSDT,,2026-05-24T21:00:00+00:00,18762949.00000000,3125907.30340000
STGUSDT,,2026-05-24T22:00:00+00:00,18706822.00000000,3066253.33963734
STGUSDT,,2026-05-24T23:00:00+00:00,18713037.00000000,3106285.54724460
STGUSDT,,2026-05-25T00:00:00+00:00,18677573.00000000,3104212.63260000
STGUSDT,,2026-05-25T01:00:00+00:00,18647862.00000000,3130976.02980000
STGUSDT,,2026-05-25T02:00:00+00:00,18653546.00000000,3105815.40900000
STGUSDT,,2026-05-25T03:00:00+00:00,18622933.00000000,3102469.45888999
STGUSDT,,2026-05-25T04:00:00+00:00,18618586.00000000,3109303.86200000
STGUSDT,,2026-05-25T05:00:00+00:00,18592083.00000000,3131836.38135000
STGUSDT,,2026-05-25T06:00:00+00:00,18593765.00000000,3124628.28633150
STGUSDT,,2026-05-25T07:00:00+00:00,18578525.00000000,3129552.53625000
STGUSDT,,2026-05-25T08:00:00+00:00,18580922.00000000,3120201.32685000
STGUSDT,,2026-05-25T09:00:00+00:00,18577231.00000000,3125619.11575000
STGUSDT,,2026-05-25T10:00:00+00:00,18556534.00000000,3134198.59260000
