symbol,ts_ms,ts_utc,sum_open_interest,sum_open_interest_value
币安人生USDT,,2026-05-22T17:00:00+00:00,110030982.00000000,47052630.25558668
币安人生USDT,,2026-05-22T18:00:00+00:00,109778331.00000000,46944507.68553000
币安人生USDT,,2026-05-22T19:00:00+00:00,109936443.00000000,46883797.80699825
币安人生USDT,,2026-05-22T20:00:00+00:00,110249957.00000000,47211236.58654000
币安人生USDT,,2026-05-22T21:00:00+00:00,110283588.00000000,47332378.22967756
币安人生USDT,,2026-05-22T22:00:00+00:00,110241872.00000000,47843760.88982672
币安人生USDT,,2026-05-22T23:00:00+00:00,110261355.00000000,47480219.84605020
币安人生USDT,,2026-05-23T00:00:00+00:00,110389633.00000000,46739679.31364386
币安人生USDT,,2026-05-23T01:00:00+00:00,110453459.00000000,47277723.20707782
币安人生USDT,,2026-05-23T02:00:00+00:00,110428707.00000000,47073609.95574885
币安人生USDT,,2026-05-23T03:00:00+00:00,110445876.00000000,47530382.73660000
币安人生USDT,,2026-05-23T04:00:00+00:00,110518439.00000000,47871061.85285000
币安人生USDT,,2026-05-23T05:00:00+00:00,110490806.00000000,47836994.45770000
币安人生USDT,,2026-05-23T06:00:00+00:00,110442512.00000000,47495802.28560000
币安人生USDT,,2026-05-23T07:00:00+00:00,110524139.00000000,47693952.29204419
币安人生USDT,,2026-05-23T08:00:00+00:00,110401479.00000000,47406395.08260000
币安人生USDT,,2026-05-23T09:00:00+00:00,110559007.00000000,46246919.96971553
币安人生USDT,,2026-05-23T10:00:00+00:00,110597158.00000000,46237275.32107782
币安人生USDT,,2026-05-23T11:00:00+00:00,111029428.00000000,47212230.93302704
币安人生USDT,,2026-05-23T12:00:00+00:00,111232832.00000000,46943324.01783488
币安人生USDT,,2026-05-23T13:00:00+00:00,111158198.00000000,47591995.64317096
币安人生USDT,,2026-05-23T14:00:00+00:00,111203506.00000000,48373519.54982470
币安人生USDT,,2026-05-23T15:00:00+00:00,111549694.00000000,49555547.74960772
币安人生USDT,,2026-05-23T16:00:00+00:00,111421275.00000000,49457675.54700000
币安人生USDT,,2026-05-23T17:00:00+00:00,111555743.00000000,49617532.45115199
币安人生USDT,,2026-05-23T18:00:00+00:00,111643376.00000000,49748973.83592864
币安人生USDT,,2026-05-23T19:00:00+00:00,111644755.00000000,49640416.50311895
币安人生USDT,,2026-05-23T20:00:00+00:00,111717143.00000000,49731734.13956537
币安人生USDT,,2026-05-23T21:00:00+00:00,111782209.00000000,50213686.10489000
币安人生USDT,,2026-05-23T22:00:00+00:00,111818029.00000000,49920040.86676000
币安人生USDT,,2026-05-23T23:00:00+00:00,111873695.00000000,49926815.84416190
币安人生USDT,,2026-05-24T00:00:00+00:00,111860302.00000000,49700650.78162000
币安人生USDT,,2026-05-24T01:00:00+00:00,112086279.00000000,50146280.36181000
币安人生USDT,,2026-05-24T02:00:00+00:00,111950440.00000000,49467540.92280000
币安人生USDT,,2026-05-24T03:00:00+00:00,111951231.00000000,49536180.69288000
币安人生USDT,,2026-05-24T04:00:00+00:00,111864570.00000000,49555072.67813190
币安人生USDT,,2026-05-24T05:00:00+00:00,111823685.00000000,49657393.95421210
币安人生USDT,,2026-05-24T06:00:00+00:00,111517909.00000000,49189529.27103265
币安人生USDT,,2026-05-24T07:00:00+00:00,111557846.00000000,49353191.07040000
币安人生USDT,,2026-05-24T08:00:00+00:00,111801391.00000000,49993109.99956000
币安人生USDT,,2026-05-24T09:00:00+00:00,111923772.00000000,49857563.47512000
币安人生USDT,,2026-05-24T10:00:00+00:00,112016165.00000000,49944560.11594130
币安人生USDT,,2026-05-24T11:00:00+00:00,111793684.00000000,49616970.42546816
币安人生USDT,,2026-05-24T12:00:00+00:00,111931810.00000000,50020087.25280000
币安人生USDT,,2026-05-24T13:00:00+00:00,112560147.00000000,51356896.40408607
币安人生USDT,,2026-05-24T14:00:00+00:00,112534599.00000000,51099710.71392000
币安人生USDT,,2026-05-24T15:00:00+00:00,111642345.00000000,49911498.84261690
币安人生USDT,,2026-05-24T16:00:00+00:00,111926406.00000000,50423965.16706000
币安人生USDT,,2026-05-24T17:00:00+00:00,112072771.00000000,50604218.28963000
币安人生USDT,,2026-05-24T18:00:00+00:00,112350094.00000000,51152997.79820000
币安人生USDT,,2026-05-24T19:00:00+00:00,112482260.00000000,51438137.49800000
币安人生USDT,,2026-05-24T20:00:00+00:00,112636886.00000000,51511323.72655428
币安人生USDT,,2026-05-24T21:00:00+00:00,112870786.00000000,51989311.15575260
币安人生USDT,,2026-05-24T22:00:00+00:00,112780181.00000000,51235299.77371807
币安人生USDT,,2026-05-24T23:00:00+00:00,112985438.00000000,51954898.41185856
币安人生USDT,,2026-05-25T00:00:00+00:00,112760239.00000000,51413823.67653017
币安人生USDT,,2026-05-25T01:00:00+00:00,112433753.00000000,50507490.52266000
币安人生USDT,,2026-05-25T02:00:00+00:00,111897770.00000000,49743202.52245500
币安人生USDT,,2026-05-25T03:00:00+00:00,111275621.00000000,48745398.53526000
币安人生USDT,,2026-05-25T04:00:00+00:00,111040582.00000000,48908777.07009356
币安人生USDT,,2026-05-25T05:00:00+00:00,110954762.00000000,49026318.01974844
币安人生USDT,,2026-05-25T06:00:00+00:00,110748967.00000000,48794722.35456917
币安人生USDT,,2026-05-25T07:00:00+00:00,110703585.00000000,49412545.16475000
币安人生USDT,,2026-05-25T08:00:00+00:00,110588997.00000000,48888077.90379000
币安人生USDT,,2026-05-25T09:00:00+00:00,110511438.00000000,48846055.59600000
币安人生USDT,,2026-05-25T10:00:00+00:00,110431174.00000000,48490328.50340000
币安人生USDT,,2026-05-25T11:00:00+00:00,110474074.00000000,48485291.34126786
币安人生USDT,,2026-05-25T12:00:00+00:00,110368637.00000000,47756509.22990000
币安人生USDT,,2026-05-25T13:00:00+00:00,110388990.00000000,48211287.49260000
币安人生USDT,,2026-05-25T14:00:00+00:00,110379710.00000000,48323103.43837830
币安人生USDT,,2026-05-25T15:00:00+00:00,110224603.00000000,48300877.36445642
币安人生USDT,,2026-05-25T16:00:00+00:00,110082782.00000000,48488194.91154678
币安人生USDT,,2026-05-25T17:00:00+00:00,110000970.00000000,48015423.40500000
币安人生USDT,,2026-05-25T18:00:00+00:00,109951797.00000000,47673999.66123000
币安人生USDT,,2026-05-25T19:00:00+00:00,109890967.00000000,47638347.38609586
币安人生USDT,,2026-05-25T20:00:00+00:00,109914309.00000000,47628193.67819226
币安人生USDT,,2026-05-25T21:00:00+00:00,109864718.00000000,47764466.18999780
币安人生USDT,,2026-05-25T22:00:00+00:00,109754363.00000000,48112356.09441385
